RDO:;RDO NO. 13 TUGUEGARAO, CAGAYAN;(Formerly RDO No. 9 - Tuguegarao, Cagayan);;;
ALL LOTS;;A8;2.50;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;SANCHEZ MIRA;;;;
BARANGAY :;CENTRO;;;;
NATIONAL ROAD;FR THE BRIDGE - MARTINEZ ST;RR;55.00;;
NATIONAL ROAD;MARTINEZ ST- BONIFACIO ST;RR;45.00;;
MARZAN ST;JUGLAS ST- MARTINEZ ST;RR;40.00;;
MARZAN ST;MARTINEZ ST- BONIFACIO ST;RR;35.00;;
LUNA ST;FR BRIDGE - MARTINEZ ST;RR;40.00;;
PROVINCIAL ROAD;MARTINEZ ST- BONIFACIO ST;RR;40.00;;
MABINI ST;MARTINEZ ST- BONIFACIO ST;RR;40.00;;
MABINI ST;FR RIVER - MARTINEZ ST;RR;35.00;;
BONIFACIO ST;FR. THE RIVER - MARTINEZ ST;RR;40.00;;
BURGOS ST;FR. THE RIVER - MARTINEZ ST;RR;30.00;;
BURGOS ST;MARTINEZ ST- BONIFACIO ST;RR;25.00;;
GOMEZ ST;MARTINEZ ST- BONIFACIO ST;RR;35.00;;
ALONZO ST;FR. THE RIVER - MARTINEZ ST;RR;25.00;;
CENTRO I;FR THE BRIDGE ALONG NATIONAL ROAD-LAGASCA ST;CR;75.00;;
CENTRO I;LAGSCA ST ALONG NATIONAL RD;CR;65.00;;
CENTRO I;MARTINEZ ST;;;;
CITY/MUNICIPALITY:;SANCHEZ MIRA;;;;
BARANGAY :;VARIOUS;;;;
CENTRO II;MARTINEZ ST ALONG NATIONAL ROAD-BONIFACIO ST;CR;55.00;;
BANGAN;NATIONAL ROAD;RR;20.00;;
BANGAN;OTHER BARANGAY ROAD;RR;15.00;;
CALUNGAN;NATIONAL ROAD;RR;20.00;;
CALUNGAN;OTHER BARANGAY ROAD;RR;15.00;;
DACAL;BARANGAY ROAD;RR;15.00;;
DAQUERAY;BARANGAY ROAD;RR;15.00;;
DAMMANG;BARANGAY ROAD;RR;15.00;;
KITTAG;BARANGAY ROAD;RR;8.00;;
LANGAGAN;NATIONAL ROAD;RR;20.00;;
LANGAGAN;OTHER BARANGAY ROAD;RR;15.00;;
MAGACAN;NATIONAL ROAD;RR;20.00;;
MAGACAN;OTHER BARANGAY ROAD;RR;15.00;;
MARZAN;ALL BARANGAY ROAD;RR;8.00;;
MASISIT;PROVINCIAL ROAD;RR;15.00;;
MASISIT;OTHER BARANGAY ROAD;RR;8.00;;
NAGRANGTAYAN;NATIONAL ROAD;RR;20.00;;
NAGRANGTAYAN;OTHER BARANGAY ROAD;RR;15.00;;
NAMUAC;BARANGAY ROAD;RR;15.00;;
SITIO MINANGA;NATIONAL ROAD;RR;20.00;;
SITIO MINANGA;OTHER BARANGAY ROAD;RR;15.00;;
SAN ANDRES;NATIONAL ROAD;RR;20.00;;
SAN ANDRES;OTHER BARANGAY ROAD;RR;15.00;;
SANTIAGO;ALL BARANGAY ROAD;RR;8.00;;
SANTOR;NATIONAL ROAD;RR;20.00;;
SANTOR;OTHER BARANGAY ROAD;RR;15.00;;
TOKITOK;ALL BARANGAY ROAD;RR;8.00;;
CITY/MUNICIPALITY:;SANCHEZ MIRA;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;7.00;;
ALL LOTS;;A2;4.00;;
ALL LOTS;;A3;3.50;;
ALL LOTS;;A4;2.50;;
ALL LOTS;;A5;3.00;;
ALL LOTS;;A6;3.00;;
ALL LOTS;;A7;7.00;;
ALL LOTS;;A8;3.00;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;SOLANA;;;;
BARANGAY :;CENTRO;;;;
LUNA ST (NORTH & S. SIDE);GOMEZ ST- BURGOS ST;RR;45.00;;
(NORTH & S. SIDE);COMMERCIAL ST- CARONAN ST;RR;45.00;;
;BONIFACIO ST-COMMERCIAL ST;CR;95.00;;
MABINI ST (N. & S. SIDE);BONIFACIO ST-COMMERCIAL ST;RR;55.00;;
(NORTH & SOUTH SIDE);GOMEZ ST- BONIFACIO ST;RR;45.00;;
(NORTH & SOUTH SIDE);COMMERCIAL ST- CARONAN ST;RR;45.00;;
OSMENA ST (N. & S. SIDE);BONIFACIO ST- COMMERCIAL ST;RR;55.00;;
(NORTH & SOUTH SIDE);GOMEZ ST- BONOFACIO ST;RR;45.00;;
AGUINALDO ST (NORTH SIDE);BURGOS ST-COMMERCIAL ST;RR;85.00;;
(SOUTH SIDE);BONIFACIO ST-COMMMERCIAL ST;RR;85.00;;
(SOUTH SIDE);BURGOS ST- BONIFACIO ST;RR;55.00;;
(NORTH & SOUTH SIDE);GOMEZ ST- BURGOS ST;RR;45.00;;
(NORTH SIDE);RIZAL ST- COMMERCIAL ST;CR;55.00;;
ARELLANO ST (N & S. SIDE);BONIFACIO ST- ARRELLANO ST;RR;55.00;;
(NORTH & SOUTH SIDE);GOMEZ ST- BURGOS ST;RR;45.00;;
BONIFACIO ST (WEST SIDE);AGUINALDO ST- LUNA ST;RR;85.00;;
(EAST SIDE);"AGUINALDO ST - ""A"" ST";RR;85.00;;
BONIFACIO ST (WEST SIDE);LIBERTAD ST- AGUINALDO ST;RR;55.00;;
BONIFACIO ST (WEST SIDE);LUNA ST- QUEZON ST;RR;55.00;;
BONIFACIO ST (WEST SIDE);"""A"" ST - LUNA ST";CR;95.00;;
BURGOS ST (W  & E  SIDE);LIBERTAD ST- LUNA ST;RR;55.00;;
BURGOS ST (W  & E  SIDE);LUNA ST- QUEZON ST;RR;45.00;;
LIBERTAD ST (N & S SIDE);GOMEZ ST- RIZAL ST;RR;85.00;;
(NORTH SIDE);RIZAL ST - END OF LIBERTAD;RR;55.00;;
LUNA ST (NORTH SIDE);BONIFACIO ST - COMMERCIAL ST;RR;85.00;;
(NORTH & SOUTH SIDE);BURGOS ST - BONIFACIO ST;RR;55.00;;
OSMENA ST;COMMERCIAL ST- CARONAN ST;RR;45.00;;
QUEZON ST (N. & S. SIDE);BONIFACIO ST- COMMERCIAL ST;RR;55.00;;
QUEZON ST (N. & S. SIDE);GOMEZ ST- BONIFACIO ST;RR;45.00;;
QUEZON ST (N. & S. SIDE);COMMERCIAL ST- CARONAN ST;RR;45.00;;
RIZAL ST (WEST SIDE);LIBERTAD ST- QUEZON ST;RR;85.00;;
(EAST SIDE);LIBERTAD ST-AGUINALDO ST;RR;85.00;;
;LUNA ST - QUEZON ST;RR;85.00;;
(EAST & WEST SIDE);QUEZON ST-SOUTH CTRL SCH;RR;55.00;;
RIZAL ST (EAST SIDE);AGUINALDO ST-LUNA ST;CR;95.00;;
(WEST SIDE);AGUINALDO ST- ARELLANO ST;CR;55.00;;
COMMERCIAL ST;AGUINALDO ST- QUEZON ST;RR;45.00;;
CORONAN ST;LUNA ST- CORONAN ST;RR;45.00;;
GOMEZ ST;LIBERTAD ST- QUEZON ST;RR;45.00;;
ALL NON-CONTIGUOUS AREAS;;RR;25.00;;
BANTAY;BARANGAY ROAD;RR;25.00;;
BANGAG;PROVINCIAL ROAD;RR;45.00;;
BANGAG;BARANGAY ROAD;RR;25.00;;
BASI EAST;PROVINCIAL ROAD;RR;45.00;;
BASI EAST;BARANGAY ROAD;RR;25.00;;
BASI WEST;PROVINCIAL ROAD;RR;45.00;;
BASI WEST;BARANGAY ROAD;RR;25.00;;
BAUAN EAST;PROVINCIAL ROAD;RR;45.00;;
BAUAN EAST;BARANGAY ROAD;RR;25.00;;
BAUAN WEST;PROVINCIAL ROAD;RR;25.00;;
BAUAN WEST;BARANGAY ROAD;RR;15.00;;
CADAANAN;BARANGAY ROAD;RR;25.00;;
CALAMAGUI;PROVINCIAL ROAD;RR;45.00;;
CALAMAGUI;BARANGAY ROAD;RR;25.00;;
CALILAUAN;BARANGAY ROAD;RR;25.00;;
CARILUGUD;BARANGAY ROAD;RR;25.00;;
CATTARAN;PROVINCIAL ROAD;RR;45.00;;
CATTARAN;BARANGAY ROAD;RR;25.00;;
DASSUN;BARANGAY ROAD;RR;25.00;;
FURAGUI;BARANGAY ROAD;RR;25.00;;
GADU;BARANGAY ROAD;RR;25.00;;
IRAGA;PROVINCIAL ROAD;RR;45.00;;
IRAGA;BARANGAY ROAD;RR;25.00;;
LANNA;BARANGAY ROAD;RR;25.00;;
LANNIG;BARANGAY ROAD;RR;25.00;;
LINGU;NATIONAL ROAD;RR;55.00;;
LINGU;BARANGAY ROAD;RR;45.00;;
MADDARULOG;NATIONAL ROAD;RR;55.00;;
MADDARULOG;BARANGAY ROAD;RR;35.00;;
MAGUIRIG;NATIONAL ROAD;RR;25.00;;
MAGUIRIG;BARANGAY ROAD;RR;20.00;;
MALACABIBI;BARANGAY ROAD;RR;25.00;;
CITY/MUNICIPALITY:;SOLANA;;;;
BARANGAY :;VARIOUS;;;;
NABBOTUAN;BARANGAY ROAD;RR;25.00;;
NANGALISAN;NATIONAL ROAD;RR;55.00;;
NANGALISAN;BARANGAY ROAD;RR;45.00;;
NATAPPIAN;PROVINCIAL ROAD;RR;45.00;;
NATAPPIAN;BARANGAY ROAD;RR;25.00;;
PADUL;BARANGAY ROAD;RR;25.00;;
PALAO;BARANGAY ROAD;RR;25.00;;
PARUG-PAROG;BARANGAY ROAD;RR;25.00;;
PATAYA;BARANGAY ROAD;RR;25.00;;
SAMPAGUITA;NATIONAL ROAD;RR;45.00;;
SAMPAGUITA;BARANGAY ROAD;RR;25.00;;
UBONG;BARANGAY ROAD;RR;25.00;;
ANDARAYAN;PROVINCIAL ROAD;RR;45.00;;
ANDARAYAN;BARANGAY ROAD;RR;25.00;;
CITY/MUNICIPALITY:;SOLANA;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;8.50;;
ALL LOTS;;A2;3.50;;
ALL LOTS;;A3;3.00;;
ALL LOTS;;A4;3.50;;
ALL LOTS;;A5;5.50;;
ALL LOTS;;A6;2.00;;
ALL LOTS;;A7;3.00;;
ALL LOTS;;A8;1.50;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;SANTA ANA;;;;
BARANGAY :;POBLACION;;;;
RIO;ELMAR ST-NATIONAL ROAD;RR;30.00;;
VISITACION ST;NATIONAL ROAD -MABINI ST;RR;30.00;;
VISITACION ST;MABINI ST-ROXAS ST;RR;20.00;;
PINES ST;ELMAR ST-BACOBO ST;RR;30.00;;
PINES ST;BACOBO ST - ROXAS ST;RR;20.00;;
BALAO ST;BONIFACIO ST-AGUINALDO;RR;30.00;;
GARCIA ST;ELMER ST.-AGUINALDO ST.;RR;30.00;;
AGUINALDO ST;ELMAR ST- MABINI ST;RR;30.00;;
AGUINALDO ST;MABINI ST - ROXAS ST;RR;20.00;;
BURGOS ST;AGUINALDO ST-DELOS SANTOS ST;RR;30.00;;
ZAMORA ST;MH DEL PILAR ST-BURGOS ST;RR;30.00;;
MAGSAYSAY;MH DEL PILAR ST-BURGOS ST;RR;20.00;;
E. DELOS SANTOS ST;E. RODRIGUEZ -GOMEZ ST;RR;30.00;;
E. DELOS SANTOS ST;GOMEZ ST- ROXAS ST;RR;20.00;;
RODRIGUEZ ST;E. DELOS SANTOS - AGUINALDO;RR;20.00;;
ARELLANO ST;RIO ST- AGUINALDO ST;RR;30.00;;
ELMAR ST;RIO ST-E. DELOS SANTOS ST;RR;20.00;;
NATIONAL ROAD;PALAMIG RIVER - DELOS SANTOS;RR;30.00;;
PALMERA DRIVE;PALAMIG RIVER - PINES DRIVE;RR;30.00;;
M.H. DEL PILAR;E. DELOS SANTOS ST;RR;30.00;;
BONIFACIO ST;RIZAL ST-GARCIA ST;RR;30.00;;
GOMEZ ST;ZAMORA ST - DELOS SANTOS ST;RR;30.00;;
MABINI ST;PALAMIG RIVER - AGUINALDO ST;RR;20.00;;
MABINI ST;AGUINALDO ST- BACOBO ST;RR;30.00;;
MABINI ST;BACOBO ST- ROXAS ST;RR;20.00;;
RIZAL ST;PALMERA DRIVE - ROXAS ST;RR;20.00;;
LAPU-LAPU ST;MH DEL PILAR ST-GOMEZ ST;RR;30.00;;
BACOBO ST;BURGOS ST- ROXAS ST;RR;30.00;;
J. LUNA ST;BURGOS ST- ROXAS ST;RR;20.00;;
ALL OTHER BARANGAY ROAD;;RR;20.00;;
ALL INTERIOR LOTS;;RR;15.00;;
CITY/MUNICIPALITY:;SANTA ANA;;;;
BARANGAY :;VARIOUS;;;;
CASAGAN;ALL BARANGAY ROAD;RR;10.00;;
CASAGAN;ALL INTERIOR LOTS;RR;9.00;;
CASAMBALANGAN;PORT IRENE - NAT'L RD;RR;30.00;;
CASAMBALANGAN;NATIONAL ROAD;RR;30.00;;
CASAMBALANGAN;ALL BARANGAY ROAD;RR;15.00;;
CASAMBALANGAN;ALL INTERIOR LOTS;RR;10.00;;
DIORA-ZINUNGAN;BARANGAY ROAD;RR;15.00;;
DUNGEG;ALL BARANGAY ROAD;RR;10.00;;
DUNGEG;ALL INTERIOR LOTS;RR;9.00;;
KAPANNIKIAN;ALL BARANGAY ROAD;RR;10.00;;
KAPANNIKIAN;ALL INTERIOR LOTS;RR;9.00;;
MAREDE;PROV'L RD & ALL BRGY RDS;RR;10.00;;
MAREDE;ALL INTERIOR LOTS;RR;9.00;;
PALAWIG;NAT'L ROAD & ALL BRGY RD;RR;15.00;;
PALAWIG;HEREIN LOTS;RR;10.00;;
BATU-PARADA;PROV'L RD & ALL BRGY RDS;RR;10.00;;
BATU-PARADA;ALL INTERIOR LOTS;RR;9.00;;
RAPULI;NAT'L ROAD & ALL BRGY RD;RR;16.00;;
RAPULI;ALL INTERIOR LOTS;RR;10.00;;
SAN VICENTE;NAT'L ROAD & ALL BRGY RD;RR;15.00;;
SAN VICENTE;ALL INTERIOR LOTS;RR;10.00;;
SANTA CLARA;ALL BARANGAY ROAD;RR;10.00;;
SANTA CLARA;INTERIOR LOTS;RR;9.00;;
SANTA CRUZ;NAT'L ROAD & ALL BRGY RD;RR;15.00;;
SANTA CRUZ;INTERIOR LOTS;RR;10.00;;
TANGATAN;NAT'L ROAD & ALL BRGY RD;RR;15.00;;
TANGATAN;INTERIOR LOTS;RR;10.00;;
VISITACION;PROV'L RD & ALL BRGY RDS;RR;10.00;;
VISITACION;INTERIOR LOTS;RR;9.00;;
CITY/MUNICIPALITY:;SANTA ANA;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;6.50;;
ALL LOTS;;A2;2.50;;
ALL LOTS;;A3;2.00;;
ALL LOTS;;A4;2.00;;
ALL LOTS;;A5;2.50;;
ALL LOTS;;A6;2.50;;
ALL LOTS;;A8;2.50;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;SANTA PRAXEDES;;;;
BARANGAY :;CENTRO;;;;
NATIONAL ROAD;VILLAMOR ST OF CENTRO II - PROPOSED MUN'S STS OF CENTRO II;RR;35.00;;
AGLIPAY ST;AGNIR ST-NATIONAL ROAD;RR;35.00;;
AGLIPAY ST;AGNIR ST - AGRICULTURAL LAND;RR;25.00;;
STIMPSON ST;AGNIR ST- BAYUGA ST;RR;35.00;;
STIMPSON ST;AGNIR ST- AGRICULTURAL LAND;RR;25.00;;
STIMPSON ST;BAYUGA ST- AGRICULTURAL LAND;RR;25.00;;
AURORA ST;AGNIR ST- NATIONAL ROAD;RR;35.00;;
AURORA ST;NATIONAL ROAD - BAYUGA ST;RR;35.00;;
AURORA ST;AGNIR ST- AGRICULTURAL LAND;RR;25.00;;
RIZAL ST;AGNIR ST - BAYUGA ST;RR;35.00;;
RIZAL ST;BAYUGA ST- AGUIRRE ST;RR;25.00;;
VILLAMOR ST;NATIONAL ROAD- BAYUGA ST;RR;35.00;;
VILLAMOR ST;AGNIR ST- NATIONAL ROAD;RR;30.00;;
VILLAMOR ST;AGNIR ST- AGRICULTURAL LAND;RR;25.00;;
SEBASTIAN ST;AGNIR ST- BAYUGA ST;RR;30.00;;
SEBASTIAN ST;AGNIR ST- AGRICULTURAL LAND;RR;25.00;;
BURGOS ST;AGNIR ST- BAYUGA ST;RR;30.00;;
BURGOS ST;BAYUGA ST- AGUIRRE ST;RR;25.00;;
GOMEZ ST;AGNIR ST- BAYUGA ST;RR;30.00;;
GOMEZ ST;BAYUGA ST- AGUIRRE ST;RR;25.00;;
QUIRINO ST;AGRICULTURAL LAND - BAYUGA ST;RR;30.00;;
QUIRINO ST;BAYUGA ST-AGUIRRE ST;RR;25.00;;
OSMENA ST;NATIONAL ROAD - BAYUGA ST;RR;30.00;;
OSMENA ST;BAYUGA ST - AGUIRRE ST;RR;25.00;;
ROXAS ST;NATIONAL ROAD - BAYUGA ST;RR;30.00;;
ROXAS ST;BAYUGA ST - AGUIRRE ST;RR;25.00;;
PROPOSED ST;NATIONAL ROAD - BAYUGA ST;RR;30.00;;
AGNIR ST;VILLAMOR ST OF CENTRO III - GOMEZ ST OF CENTAL I;RR;30.00;;
AGNIR ST;VILLAMOR ST - AURORA ST;RR;25.00;;
BAYUGA ST;VILLAMOR ST OF CENTRO II - PROPOSED ST OF CENTRO I;RR;30.00;;
BAYUGA ST;BAYUGA ST- STIMPSON ST;RR;25.00;;
AGUIRRE ST;BDRY LINE OF CENTRO II - AGRI'L LAND OF SOUTH;RR;25.00;;
AGUIRRE ST;;;;;
CITY/MUNICIPALITY:;SANTA PRAXEDES;;;;
BARANGAY :;VARIOUS;;;;
CADONGDONGAN;BARANGAY ROAD;RR;15.00;;
CAPACUAN;BARANGAY ROAD;RR;20.00;;
MACATEL;BARANGAY ROAD;RR;8.00;;
PINATAYAN;BARANGAY ROAD;RR;8.00;;
PORTABAGA;BARANGAY ROAD;RR;20.00;;
SAN JUAN;NATIONAL ROAD;RR;25.00;;
SAN JUAN;BARANGAY ROAD;RR;15.00;;
SAN MIGUEL;BARANGAY ROAD;RR;15.00;;
SICUL;BARANGAY ROAD;RR;8.00;;
CITY/MUNICIPALITY:;SANTA PRAXEDES;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;7.50;;
ALL LOTS;;A2;3.00;;
ALL LOTS;;A3;2.50;;
ALL LOTS;;A4;2.00;;
ALL LOTS;;A5;4.00;;
ALL LOTS;;A6;3.50;;
ALL LOTS;;A7;7.00;;
ALL LOTS;;A8;2.00;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;SANTA TERESITA;;;;
BARANGAY :;CENTRO;;;;
NATIONAL ROAD;ARGUERO ST- GALLETO ST;CR;55.00;;
NATIONAL ROAD;GALLETO ST-DUPAYA ST;CR;55.00;;
NATIONAL ROAD;DUPAYA ST- BRGY BOUNDERY;RR;45.00;;
GALLETO ST;NATIONAL ROAD -NUNEZ ST;CR;55.00;;
DUPAYA ST;NATIONAL RD-NUNEZ ST;CR;55.00;;
DUPAYA ST;NATIONAL RD- M PILOR ST.;RR;45.00;;
DUPAYA ST;TAASIN ST-PALOR ST;RR;45.00;;
MARTINEZ ST;WEST GOING TO ENRILE ST;RR;45.00;;
SEVELLEJA ST;VARILLA ST -ENRILE ST;RR;45.00;;
DE GARCIA ST;ARQUERO ST- ENRILE ST;RR;45.00;;
ENRILE ST;DE GRACIA ST-NATIONAL ROAD;RR;45.00;;
ENRILE ST;DE GRACIA ST-BRGY BOUNDERY;RR;35.00;;
VARILLA ST;DE GRACIA ST-SEVILLEJA ST;RR;45.00;;
PALOR ST;PROV'L RD - DUPAYA ST;RR;35.00;;
PALOR ST;DUPAYA ST- BRGY BOUNDERY;RR;30.00;;
MADRID ROAD;ARQUERO ST-ENRILE ST;RR;35.00;;
PROVINCIAL ROAD;NATIONAL RD-GULASSING RIVER;RR;35.00;;
ARQUERO ST;NATIONAL RD-STA TERESITA H.S;RR;35.00;;
S. JAVIER ST;PROVINCIAL ROAD WESTWARD;RR;30.00;;
CITY/MUNICIPALITY:;SANTA TERESITA;;;;
BARANGAY :;VARIOUS;;;;
ALUCAO;BARANGAY ROAD;RR;15.00;;
BUYUN;NATIONAL ROAD;RR;20.00;;
BUYUN;PROVINCIAL ROAD;RR;15.00;;
BUYUN;BARANGAY ROAD;RR;8.00;;
DUNGEG;BARANGAY ROAD;RR;15.00;;
LUGA;BARANGAY ROAD;RR;15.00;;
MASI;BARANGAY ROAD;RR;15.00;;
MISSION;BARANGAY ROAD;RR;15.00;;
MISSION;NATIONAL ROAD;RR;20.00;;
GIMPATUYO;NATIONAL ROAD;RR;20.00;;
GIMPATUYO;BARANGAY ROAD;RR;15.00;;
VILLA;NATIONAL ROAD;RR;25.00;;
VILLA;BARANGAY ROAD;RR;15.00;;
CITY/MUNICIPALITY:;SANTA TERESITA;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;5.00;;
ALL LOTS;;A2;3.00;;
ALL LOTS;;A3;2.50;;
ALL LOTS;;A4;2.00;;
ALL LOTS;;A5;2.00;;
ALL LOTS;;A6;3.50;;
ALL LOTS;;A7;4.50;;
ALL LOTS;;A8;2.50;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;SANTO NINO;;;;
BARANGAY :;CENTRO NORTE;;;;
PROVINCIAL ROAD;PIMENTEL ST- RD SAN MANUEL;CR;55.00;;
"MUNICIPAL ROAD ""A"" (E)";PIMENTEL ST- SIMEON;RR;30.00;;
(W);PIMENTEL ST- SIMEON;RR;40.00;;
"MUNICIPAL ROAD ""B"" (E)";PIMENTEL ST- BRGY SAN MANUEL;RR;40.00;;
(W);PIMENTEL ST- BRGY SAN MANUEL;RR;30.00;;
SIMEON ST;BOUNDERY TO BRGY SAN MANUEL;RR;40.00;;
LIWAG;"MUN. RD ""A"" - MUN. RD ""B""";RR;40.00;;
TRIUMFANTE ST;"MUN. RD ""A"" - MUN. RD ""B""";RR;40.00;;
L. LUZ ST;"MUN. RD ""A"" - MUN. RD ""B""";RR;40.00;;
S. LAZO ST;"MUN. RD ""A"" - MUN. RD ""B""";RR;40.00;;
G. PIMENTEL ST;"MUN. RD ""A"" - MUN. RD ""B""";RR;40.00;;
G. PIMENTEL ST;RIVER BANK - BARRIO SIDIRAN;RR;40.00;;
J. DAQUIAG ST;"PROV'L RD - MUNICIPAL RD ""B""";RR;40.00;;
VILLANUEVA ST;"PROV'L RD - MUNICIPAL RD ""B""";RR;40.00;;
M. BELTRAN ST;"PROV'L RD - MUNICIPAL RD ""B""";RR;40.00;;
R. TEMPLE ST;PROVINCIAL ROAD-FAIRE ST;RR;40.00;;
VERIDIANO ST;PROVINCIAL ROAD-FAIRE ST;RR;40.00;;
A. PAGURAYAN ST;PROVINCIAL ROAD-FAIRE ST;RR;40.00;;
SEGUNDO ST;PROVINCIAL ROAD-FAIRE ST;RR;40.00;;
SEGUNDO ST;ALL OTHER BARANGAY ROADS;RR;35.00;;
SEGUNDO ST;ALL INTERIOR LOTS;RR;30.00;;
ABARRIONGAN RUAR;ALL BARANGAY ROADS;RR;20.00;;
ABARRIONGAN RUAR;INTERIOR LOTS;RR;15.00;;
ABARRIONGAN UNEG;ALL BARANGAY ROADS;RR;20.00;;
ABARRIONGAN UNEG;INTERIOR LOTS;RR;15.00;;
BALAGAN;ALL BARANGAY ROADS;RR;20.00;;
BALAGAN;INTERIOR LOTS;RR;15.00;;
BALANI;ALL BARANGAY ROADS;RR;20.00;;
BALANI;INTERIOR LOTS;RR;15.00;;
CABAYU;ALL BARANGAY ROADS;RR;20.00;;
CABAYU;INTERIOR LOTS;RR;15.00;;
CALAPANGAN;ALL BARANGAY ROADS;RR;20.00;;
CALAPANGAN;INTERIOR LOTS;RR;15.00;;
CALASSITAN;ALL BARANGAY ROADS;RR;20.00;;
CALASSITAN;INTERIOR LOTS;RR;15.00;;
CAMPO;ALL BARANGAY ROADS;RR;20.00;;
CAMPO;INTERIOR LOTS;RR;15.00;;
DUNGAO ALONG PROVINCIAL ROAD;BRGY BOUNDERY-RD TO BALAGAN;RR;30.00;;
DUNGAO ALONG PROVINCIAL ROAD;"RD TO BAL;AGAN-CAGAYAN RIVER";RR;40.00;;
DUNGAO ALONG PROVINCIAL ROAD;ALL OTHER BARANGAY ROAD;RR;30.00;;
DUNGAO ALONG PROVINCIAL ROAD;INTERIOR LOTS;RR;25.00;;
CITY/MUNICIPALITY:;SANTO NINO;;;;
BARANGAY :;VARIOUS;;;;
LATTAC;ALL BARANGAY ROADS;RR;20.00;;
LATTAC;INTERIOR LOTS;RR;15.00;;
LIPATAN;ALL BARANGAY ROADS;RR;20.00;;
LIPATAN;INTERIOR LOTS;RR;15.00;;
LUBO;ALL BARANGAY ROADS;RR;20.00;;
LUBO;INTERIOR LOTS;RR;15.00;;
MABITBITNONG;ALL BARANGAY ROADS;RR;30.00;;
MABITBITNONG;INTERIOR LOTS;RR;25.00;;
MAPITAC;ALL BARANGAY ROADS;RR;20.00;;
MAPITAC;INTERIOR LOTS;RR;15.00;;
MASICAL;ALL BARANGAY ROADS;RR;30.00;;
MASICAL;INTERIOR LOTS;RR;25.00;;
MATALAO;ALL BARANGAY ROADS;RR;20.00;;
MATALAO;INTERIOR LOTS;RR;15.00;;
NAG-UMA;ALL BARANGAY ROADS;RR;30.00;;
NAG-UMA;INTERIOR LOTS;RR;25.00;;
NAMUCCAYAN;ALL BARANGAY ROADS;RR;30.00;;
NAMUCCAYAN;INTERIOR LOTS;RR;25.00;;
NIUG NORTE;ALL BARANGAY ROADS;RR;20.00;;
NIUG NORTE;INTERIOR LOTS;RR;15.00;;
NIUG SUR;ALL BARANGAY ROADS;RR;20.00;;
NIUG SUR;INTERIOR LOTS;RR;15.00;;
PALUSAO;ALL BARANGAY ROADS;RR;30.00;;
PALUSAO;INTERIOR LOTS;RR;25.00;;
SAN MANUEL;ALL BARANGAY ROADS;RR;30.00;;
SAN MANUEL;INTERIOR LOTS;RR;25.00;;
SAN ROQUE;ALL BARANGAY ROADS;RR;20.00;;
SAN ROQUE;INTERIOR LOTS;RR;15.00;;
SIDIRAN;ALL BARANGAY ROADS;RR;30.00;;
SIDIRAN;INTERIOR LOTS;RR;25.00;;
SANTA FELICITAS;ALL BARANGAY ROADS;RR;20.00;;
SANTA FELICITAS;INTERIOR LOTS;RR;15.00;;
SANTA MARIA;ALL BARANGAY ROADS;RR;20.00;;
SANTA MARIA;INTERIOR LOTS;RR;15.00;;
TABANG;ALL BARANGAY ROADS;RR;30.00;;
TABANG;INTERIOR LOTS;RR;25.00;;
TAMMUCO;ALL BARANGAY ROADS;RR;20.00;;
TAMMUCO;INTERIOR LOTS;RR;15.00;;
VIRGINIA;ALL BARANGAY ROADS;RR;30.00;;
VIRGINIA;INTERIOR LOTS;RR;25.00;;
CITY/MUNICIPALITY:;SANTO NINO;;;;
BARANGAY :;ALL BARANGAYS;;;;
ALL LOTS;;A1;6.50;;
ALL LOTS;;A2;4.50;;
ALL LOTS;;A3;2.00;;
ALL LOTS;;A4;4.50;;
ALL LOTS;;A5;3.50;;
ALL LOTS;;A6;4.50;;
ALL LOTS;;A7;4.00;;
ALL LOTS;;A8;3.00;;
ALL LOTS;;A9;1.00;;
ALL LOTS;;A10;1.00;;
CITY/MUNICIPALITY:;TUAO;;;;
CITY/MUNICIPALITY:;;;;;
BARANGAY :;CENTRO;;;;
P. PAGELA JR. ST;NATIONAL RD-BONIFACIO ST;CR;85.00;;
GARCIA ST;NATIONAL RD-BONIFACIO ST;CR;85.00;;
NAIONAL ROAD (NORTH SIDE);NATIONAL RD-BONIFACIO ST;CR;85.00;;
(EAST SIDE);NATIONAL RD- J. GARCIA ST;RR;60.00;;
(EAST SIDE);BONIFACIO ST-BALLESTEROS ST;RR;40.00;;
