RDO:;RDO NO. 47 - EAST MAKATI;;;;
LEGASPI PARK VIEW CONDOMINIUM;LEGASPI ST;PS;34,560.00;;
LEGASPI PLACE;ADELANTADO ST;RC;80,000.00;;
LEGASPI PLACE;ADELANTADO ST;CC;90,000.00;;
LEGASPI PLACE;ADELANTADO ST;PS;54,000.00;;
LEGASPI SUITES;SALCEDO ST;RC;58,000.00;;
LEGASPI SUITES;SALCEDO ST;CC;65,000.00;;
LEGASPI SUITES;SALCEDO ST;PS;39,000.00;;
LEGASPI TOWER 100;LEGASPI ST;RC;48,000.00;;
LEGASPI TOWER 100;LEGASPI ST;CC;57,600.00;;
LEGASPI TOWER 100;LEGASPI ST;PS;34,560.00;;
LEGASPI TOWER 200;PASEO DE ROXAS;RC;48,000.00;;
LEGASPI TOWER 200;PASEO DE ROXAS;CC;57,600.00;;
LEGASPI TOWER 200;PASEO DE ROXAS;PS;34,560.00;;
LPL SUITES GREENBELT;LEGASPI ST;RC;51,500.00;;
LPL SUITES GREENBELT;LEGASPI ST;CC;61,800.00;;
LPL SUITES GREENBELT;LEGASPI ST;PS;37,100.00;;
LPL TOWER;LEGASPI ST;RC;51,500.00;;
LPL TOWER;LEGASPI ST;CC;61,800.00;;
LPL TOWER;LEGASPI ST;PS;37,100.00;;
LTA CONDOMINIUM;PEREA ST;RC;48,000.00;;
LTA CONDOMINIUM;PEREA ST;CC;51,500.00;;
LTA CONDOMINIUM;PEREA ST;PS;30,900.00;;
MAYFAIR MANSION;PEREA ST;RC;51,500.00;;
MAYFAIR MANSION;PEREA ST;CC;58,000.00;;
MAYFAIR MANSION;PEREA ST;PS;34,800.00;;
MEDICAL PLAZA MAKATI;AMORSOLO ST/DELA ROSA ST;RC;55,000.00;;
MEDICAL PLAZA MAKATI;AMORSOLO ST/DELA ROSA ST;CC;66,000.00;;
MEDICAL PLAZA MAKATI;AMORSOLO ST/DELA ROSA ST;PS;39,600.00;;
MEDICAL TOWERS;V.A. RUFINO ST-ORMAZA ST (HERRERA ST);CC;51,500.00;;
MEDICAL TOWERS;V.A. RUFINO ST-ORMAZA ST (HERRERA ST);PS;30,900.00;;
MGF CHAMPACA;AMORSOLO ST;RC;48,000.00;;
MGF CHAMPACA;AMORSOLO ST;CC;50,000.00;;
MGF CHAMPACA;AMORSOLO ST;PS;30,000.00;;
MIDLAND MANSIONS;ARNAIZ ST- BENAVIDEZ ST;RC;50,000.00;;
MIDLAND MANSIONS;ARNAIZ ST- BENAVIDEZ ST;CC;55,000.00;;
MIDLAND MANSIONS;ARNAIZ ST- BENAVIDEZ ST;PS;33,000.00;;
MIRIAM HOUSE;LEGASPI ST;RC;48,000.00;;
MIRIAM HOUSE;LEGASPI ST;CC;50,000.00;;
MIRIAM HOUSE;LEGASPI ST;PS;30,000.00;;
MONTEPINO BUILDING;AMORSOLO ST-GAMBOA;RC;48,000.00;;
MONTEPINO BUILDING;AMORSOLO ST-GAMBOA;CC;50,000.00;;
MONTEPINO BUILDING;AMORSOLO ST-GAMBOA;PS;30,000.00;;
ODC INTERNATIONAL PLAZA CONDOMINIUM;SALCEDO ST;RC;50,000.00;;
ODC INTERNATIONAL PLAZA CONDOMINIUM;SALCEDO ST;CC;55,000.00;;
ODC INTERNATIONAL PLAZA CONDOMINIUM;SALCEDO ST;PS;33,000.00;;
ONE CORPORATE PLAZA;PASEO DE ROXAS;CC;53,000.00;;
ONE CORPORATE PLAZA;PASEO DE ROXAS;PS;31,800.00;;
ONE LEGASPI PARK;RADA ST;RC;72,500.00;;
ONE LEGASPI PARK;RADA ST;CC;87,000.00;;
ONE LEGASPI PARK;RADA ST;PS;52,200.00;;
ONE LEGASPI TOWER (LEGASPI TOWERS);LEGASPI ST;RC;51,500.00;;
ONE LEGASPI TOWER (LEGASPI TOWERS);LEGASPI ST;CC;61,800.00;;
ONE LEGASPI TOWER (LEGASPI TOWERS);LEGASPI ST;PS;37,100.00;;
ONE ROMAN SUITES;A. ARNAIZ;RC;48,000.00;;
ONE ROMAN SUITES;A. ARNAIZ;CC;53,000.00;;
ONE ROMAN SUITES;A. ARNAIZ;PS;31,800.00;;
OPL BUILDING;C. PALANCA ST;RC;52,500.00;;
OPL BUILDING;C. PALANCA ST;CC;57,600.00;;
OPL BUILDING;C. PALANCA ST;PS;34,560.00;;
PERLA MANSION;C. PALANCA ST;RC;57,600.00;;
PERLA MANSION;C. PALANCA ST;CC;69,120.00;;
PERLA MANSION;C. PALANCA ST;PS;41,480.00;;
PRINCE PLAZA I;LEGASPI ST;RC;51,500.00;;
PRINCE PLAZA I;LEGASPI ST;CC;61,800.00;;
PRINCE PLAZA I;LEGASPI ST;PS;37,100.00;;
PRINCE PLAZA II;DELA ROSA ST;RC;57,600.00;;
PRINCE PLAZA II;DELA ROSA ST;CC;69,120.00;;
PRINCE PLAZA II;DELA ROSA ST;PS;41,480.00;;
RADA REGENCY CONDOMINIUM;RADA ST/DELA ROSA ST;RC;70,000.00;;
RADA REGENCY CONDOMINIUM;RADA ST/DELA ROSA ST;CC;84,000.00;;
RADA REGENCY CONDOMINIUM;RADA ST/DELA ROSA ST;PS;50,400.00;;
RCI BUILDING;RADA ST;RC;48,000.00;;
RCI BUILDING;RADA ST;CC;51,500.00;;
RCI BUILDING;RADA ST;PS;30,900.00;;
