RDO:;RDO NO. 34 - PACO - PANDACAN - STA. ANA;;;(FORMERLY RDO NO.  25  -  SOUTH MANILA);
PERDIGON;PAZ-PENAFRANCIA;RR;2,700.00;;
SAN ANTONIO;PAZ-PENAFRANCIA;RR;2,700.00;;
SAN GREGORIO;PAZ-PENAFRANCIA;RR;4,050.00;;
UNION;SAN GREGORIO-PERDIGON;RR;2,700.00;;
BARANGAY:;BARANGAY  681 ZONE  74;;;;
MERCED;PERDIGON-P GIL;RR;3,400.00;;
P GIL;PAZ-PENAFRANCIA;CR;20,000.00;;
PAZ;PERDIGON-P GIL;RR;3,400.00;;
PAZ;PERDIGON-P GIL;CR;7,000.00;;
PENAFRANCIA;PERDIGON-P GIL;RR;3,400.00;;
PENAFRANCIA;PAZ-PENAFRANCIA;RR;2,700.00;;
STO. SEPULORO;PAZ-PENAFRANCIA;RR;2,700.00;;
UNION;PERDIGON-P GIL;RR;2,700.00;;
BARANGAY:;BARANGAY  682 ZONE  74;;;;
FIGUEROA;P QUIRINO- P GIL;RR;2,700.00;;
P GIL;PENFRANCIA-P QUIRINO;CR;20,000.00;;
PENAFRANCIA;SN GREGORIO-P GIL;RR;3,400.00;;
PERDIGON;PENAFRANCIA-P DILAO;RR;2,700.00;;
QUIRINO AVE (CANONIGO);P GIL-P DILAO;CR;12,000.00;;
SAN ANTONIO;PENFRANCIA-P DILAO;RR;2,700.00;;
SAN GREGORIO;PENFRANCIA-P DILAO;RR;4,050.00;;
STO SEPULORO;PENFRANCIA-P DILAO;RR;2,700.00;;
ALL OTHER STREETS;;RR;2,700.00;;
ALL OTHER STREETS;;CR;12,000.00;;
BARANGAY:;BARANGAY  683 ZONE  74;;;;
CASIANO;PAZ-MERCED;RR;2,700.00;;
FELINA;PAZ-MERCED;RR;2,700.00;;
LANUZA;PAZ-MERCED;RR;2,700.00;;
LOPEZ JAENA;PAZ-MERCED;RR;3,050.00;;
MERCED;P GIL-PAZ;RR;3,400.00;;
P GIL;PAZ-MERCED;CR;20,000.00;;
PAZ;P GIL-P QUIRINO AVE;RR;3,400.00;;
PAZ;P GIL-P QUIRINO AVE;CR;7,000.00;;
SAGAT;PAZ-MERCED;RR;3,050.00;;
BARANGAY:;BARANGAY  684 ZONE  74;;;;
FELINA;SANTIAGO-PAZ;RR;2,700.00;;
LOPEZ JAENA;EST DE PACO-PAZ;RR;3,050.00;;
P GIL;EST DE PACO-PAZ;CR;20,000.00;;
PAZ;P GIL-EST DE PACO;RR;3,400.00;;
PAZ;P GIL-EST DE PACO;CR;7,000.00;;
SAGAT;EST DE PACO-PAZ;RR;3,050.00;;
SANTIAGO;P GIL-FELINA;RR;2,700.00;;
SANTIAGO;P GIL-FELINA;CR;5,900.00;;
BARANGAY:;BARANGAY  685 ZONE  74;;;;
CASIANO;MERCED-UNION;RR;2,700.00;;
FELINA;MERCED-UNION;RR;2,700.00;;
LANUZA;MERCED-UNION;RR;2,700.00;;
MERCED;P GIL-PAS;RR;3,400.00;;
P GIL;MERCED-P QUIRINO;CR;20,000.00;;
PENAFRANCIA;P GIL-SAGAT;RR;3,400.00;;
PRES QUIRINO;P GIL-EST DE PACO;CR;12,000.00;;
SAGAT;MERCED-P QUIRINO;RR;3,050.00;;
UNION;P GIL-P QUIRINO;RR;2,700.00;;
BARANGAY:;BARANGAY  686 ZONE  75;;;;
A LINAO (DART);P GIL - P QUIRINO;CR;8,200.00;;
ANAKBAYAN;QUIRINO AVE - NAKPIL;RR;3,400.00;;
J NAKPIL;A LINAO - PAZ;RR;5,100.00;;
P GIL;A LINAO - EST DE PACO;CR;20,000.00;;
P QUIRINO;J NAKPIL - A LINAO;CR;12,000.00;;
