RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;(Formerly RDO No. 22 - Tondo / San Nicolas);
BARANGAY:;BARANGAY  46 ZONE  3;;;;
BARCELONA EXT;MORGA-MORIONES;RR;1,200.00;;
J SANTOS;MORGA-MORIONES;RR;1,000.00;;
MORGA EXT;WAGAS-BARCELONA;RR;1,000.00;;
MORIONES;BARCELONA-WAGAS;CR;2,500.00;;
MORIONES;BARCELONA-WAGAS;RR;1,200.00;;
SEVILLA EXT;MORGA-MORIONES;RR;1,200.00;;
WAGAS;MORGA-MORIONES;RR;1,000.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY  47 ZONE  3;;;;
BARCELONA EXT;MORGA-MORIONES;RR;1,200.00;;
CAMBA EXT;MORGA-MORIONES;RR;1,000.00;;
DAMA DE NOCHE;MORGA-MORIONES;RR;1,000.00;;
J NOLASCO;MORGA-MORIONES;RR;1,000.00;;
MADRID EXT;MORGA-MORIONES;RR;1,000.00;;
MORGA EXT;BARCELONA-J NOLASCO;RR;1,000.00;;
MORIONES;J NOLASCO-BARCELONA;CR;2,500.00;;
MORIONES;J NOLASCO-BARCELONA;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,000.00;;
BARANGAY:;BARANGAY  48   4;;;ZONE 4 IS BOUNDED BY:     NORTH  -  MAYOR ANTONIO VILLEGAS (FR. ESTERO DELA REINA TO DAGUPAN)     SOUTH  -  C M RECTO (FR. DAGUPAN TO ESTEO DELA REINA)     WEST   -  DAGUPAN (FR. MAYOR ANTONIO VILLEGAS TO C M RECTO)     EAST   -  ESTERO DELA REINA (FR. MAYOR ANTONIO VILLEGAS TO C M RECTO);
DAGUPAN;MORIONES;CR;2,000.00;;
DAGUPAN;MORIONES;RR;1,200.00;;
ESTERO DELA REINA;MORIONES;RR;1,250.00;;
MORIONES;DAGUPAN-E DELA REINA;CR;3,950.00;;
BARANGAY:;BARANGAY  49 ZONE  4;;;;
C.M. RECTO;DAGUPAN-E DELA REINA;CR;12,000.00;;
DAGUPAN;C M RECTO;CR;2,000.00;;
DAGUPAN;C M RECTO;RR;1,200.00;;
ESTERO DELA REINA;C M RECTO;RR;1,250.00;;
BARANGAY:;BARANGAY  50 ZONE  4;;;;
DAGUPAN;NICODEMUS-HAMABAR;CR;2,000.00;;
DAGUPAN;NICODEMUS-HAMABAR;RR;1,200.00;;
G PERFECTO;NICODEMUS-HAMABAR;RR;1,200.00;;
HAMABAR;DAGUPAN-G PERFECTO;RR;1,200.00;;
J ALMARIO;DAGUPAN-G PERFECTO;RR;1,200.00;;
J BASA;DAGUPAN-G PERFECTO;RR;1,200.00;;
LINAMPAS;DAGUPAN-G PERFECTO;RR;1,200.00;;
MALONG;DAGUPAN-G PERFECTO;RR;1,200.00;;
MERCADO;DAGUPAN-G PERFECTO;RR;1,200.00;;
NICODEMUS;DAGUPAN-G PERFECTO;RR;1,200.00;;
BARANGAY:;BARANGAY  51 ZONE  4;;;;
CORAL;DAGUPAN-PRUDENCIO;RR;1,200.00;;
DAGUPAN;NICODEMUS-MORIONES;CR;2,000.00;;
DAGUPAN;NICODEMUS-MORIONES;RR;1,200.00;;
NICODEMUS;DAGUPAN-G PERFECTO;RR;1,200.00;;
PERLA;DAGUPAN-PRUDENCIA;RR;1,200.00;;
PILAPIL;DAGUPAN-PRUDENCIA;RR;1,200.00;;
TIAGO;DAGUPAN-PRUDENCIA;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
BARANGAY:;BARANGAY  52 ZONE  4;;;;
ENDAYA;G PERFECTO-PRUDENCIA;RR;900.00;;
G PERFECTO;NICODEMUS-ENDAYA;RR;1,200.00;;
GABRIELA;G PERFECTO-PRUDENCIA;RR;1,200.00;;
J ALMARIO;G PERFECTO-PRUDENCIA;RR;1,100.00;;
