RDO:;RDO NO. 41    - MANDALUYONG CITY;;;(FORMERLY RDO NO. 31 MANDALUYONG-SAN JUAN);
ALL OTHER STREETS;;RR;1,700.00;;
ALL OTHER STREETS;;CR;6,500.00;;
BARANGAY:;OLD SANIGA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
AGLIPAY;PMI;RR;1,500.00;;
AGLIPAY;PMI;I;1,200.00;;
AGLIPAY;PMI;X;1,200.00;;
BALLESTEROS;BONI AVENUE;RR;1,500.00;;
CANTERAS;PEDRO  P CRUZ;RR;1,350.00;;
CRUZ P;;RR;1,500.00;;
DE VALENCIA G;CREEK;RR;1,200.00;;
GABRIEL CAPT;REV AGLIPAY;RR;1,200.00;;
HERNANDEZ;PEDRO P CRUZ;RR;1,200.00;;
LERMA;PEDRO P CRUZ;RR;1,200.00;;
LEYVA;CREEK CATH CEMETERY;RR;1,200.00;;
MAGTOTO;REV AGLIPAY ROAD;RR;1,200.00;;
PARADA;PEDRO CRUZ;RR;1,200.00;;
PEDRO;PEDRO CRUZ;RR;1,200.00;;
REYES;B FRANCISCO;RR;1,200.00;;
VICENCIO J;;RR;1,200.00;;
ALL OTHER STREETS;;RR;1,200.00;;
ALL OTHER STREETS;;CR;3,000.00;;
ALL OTHER STREETS;;I;1,200.00;;
ALL OTHER STREETS;;X;1,000.00;;
BARANGAY:;PAG ASA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
GEN KALENTONG;;RR;3,000.00;;
GEN KALENTONG;;CR;4,000.00;;
HARAPIN ANG BUKAS;LIBERATION MARKET;RR;1,800.00;;
HARAPIN ANG BUKAS;LIBERATION MARKET;CR;3,500.00;;
INOCENTES;DON BOSCO;RR;1,500.00;;
INOCENTES;DON BOSCO;X;1,200.00;;
LUNA;BOUNDARY POE;RR;1,500.00;;
NEW PANADEROS;LAMBINGAN BRIDGE;RR;3,000.00;;
NEW PANADEROS;LAMBINGAN BRIDGE;CR;4,000.00;;
REYES A T;DON BOSCO;RR;1,500.00;;
ROXAS;;RR;1,350.00;;
ALL OTHER STREETS;;RR;1,500.00;;
ALL OTHER STREETS;;CR;3,500.00;;
BARANGAY:;PLAINVIEW;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REVISION ZV/SQ.M.;;
ALIW;BONI AVENUE;RR;1,800.00;;
AYALA HSG PROJECT;;RR;1,800.00;;
BONI AVE;;RR;2,500.00;;
BONI AVE;;CR;3,000.00;;
BUENCONSEJO;SAN RAFAEL;RR;1,500.00;;
BUENVIAJE;SAN RAFAEL;RR;1,500.00;;
BULALAKAW;AYALA HOUSING;RR;1,500.00;;
BUMATAY SGT;MUNICIPAL HALL;RR;2,400.00;;
BUMATAY SGT;MUNICIPAL HALL;CR;2,500.00;;
CELIA;;RR;1,500.00;;
CONCEPCION;SAN RAFAEL;RR;1,400.00;;
DALISAY;MRR;RR;1,200.00;;
FABELLA;NAT'L MENTAL;RR;1,500.00;;
FATIMA;TOWN HALL;RR;1,200.00;;
FLORANTE;AYALA HOUSING;RR;1,430.00;;
GUINHAWA;;RR;1,200.00;;
KALINISAN;;RR;1,350.00;;
KASIPAGAN;AYALA HOUSING;RR;1,350.00;;
KATARUNGAN;MUNICIPAL HALL;RR;2,000.00;;
KAYUMANGGI;;RR;1,430.00;;
KISLAP;AYALA HOUSING;RR;1,500.00;;
LAURA;AYALA HOUSING;RR;1,350.00;;
LIGAYA;BONI AVE;RR;1,500.00;;
LOURDES;SAN RAFAEL;RR;1,500.00;;
MA CLARA;AYALA HOUSING;RR;1,350.00;;
MAHARLIKA;BONI AVE;RR;1,500.00;;
MALAYA;MAND HOSPITAL;RR;1,500.00;;
MARTINEZ;TOWN HALL;RR;2,000.00;;
MAYSILO;TOWN HALL;RR;2,500.00;;
MAYSILO;TOWN HALL;CR;3,000.00;;
PAYAPA;AYALA HOUSING;RR;1,350.00;;
SAN ANTONIO;;RR;1,350.00;;
SAN CARLOS;BONI AVE;RR;1,350.00;;
SAN FRANCISCO;TOWN HALL;RR;2,500.00;;
SAN IGNACIO;TOWN HALL;RR;2,000.00;;
SAN JOAQUIN;BONI AVE;RR;2,000.00;;
SAN MARCELINO;TOWN HALL;RR;2,000.00;;
SAN MIGUEL;TOWN HALL;RR;2,000.00;;
SAN PABLO;TOWN HALL;RR;2,000.00;;
SAN PEDRO;;RR;1,350.00;;
SAN RAFAEL;BARANGKA DRIVE S CARLOS;RR;1,500.00;;
SAN RAFAEL;S CARLOS-S MIGUEL;RR;1,500.00;;
SANGGUMAY;MAND HOSPITAL;RR;1,800.00;;
SIKAP;SAN RAFAEL TANGLAW;RR;1,500.00;;
SIKAP;TANGLAW GUINHAWA;RR;1,450.00;;
STA ANA;BONI AVE;RR;1,500.00;;
STA LUCIA;BONI AVE;RR;1,500.00;;
STO NINO;BONI AVE;RR;1,600.00;;
