RDO:;RDO 25B - MARILAO, BULACAN;;;;
ALL OTHER STREETS;INTERIOR;GP;900.00;;
ALL OTHER STREETS;INTERIOR;A1;975.00;;
ALL OTHER STREETS;INTERIOR;A2;900.00;;
ALL OTHER STREETS;INTERIOR;A40;1,650.00;;
FOUR KINGS SUBD.;;RR;2,325.00;;
J. D. DELOS SANTOS SUBD.;;RR;2,325.00;;
MA. SOCORRO SUBD.;;RR;2,375.00;;
SARMIENTO HOMES SUBD.;;RR;2,325.00;;
TOWN & COUNTRY EXECUTIVE VILLAGE;;RR;3,700.00;;
VICTORINA HOMESITE;;RR;2,325.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;ABANGAN SUR;;;;
MC ARTHUR HIGHWAY;;RR;4,175.00;;
MC ARTHUR HIGHWAY;;CR;4,425.00;;
MC ARTHUR HIGHWAY;;I;4,200.00;;
MC ARTHUR HIGHWAY;INTERIOR;RR;3,500.00;;
MC ARTHUR HIGHWAY;INTERIOR;CR;4,000.00;;
MC ARTHUR HIGHWAY;INTERIOR;I;3,800.00;;
ALL OTHER STREETS;;RR;2,300.00;;
ALL OTHER STREETS;;CR;3,400.00;;
ALL OTHER STREETS;;I;3,200.00;;
ALL OTHER STREETS;;GP;525.00;;
ALL OTHER STREETS;INTERIOR;RR;2,000.00;;
ALL OTHER STREETS;INTERIOR;CR;3,250.00;;
ALL OTHER STREETS;INTERIOR;I;3,000.00;;
ALL OTHER STREETS;INTERIOR;A2;750.00;;
ALL OTHER STREETS;INTERIOR;A6;450.00;;
ALL OTHER STREETS;INTERIOR;A50;400.00;;
CONSTANTINO SUBD. PH. 3 (POLO REALTY CORP.);;RR;2,350.00;;
DUQUESA VILLE (ALFREDO DOQUE ET ALS.);;RR;2,350.00;;
E. DELA CRUZ SUBD.;;RR;2,300.00;;
FAUSTA VILLAGE;;RR;2,300.00;;
GONZALES SUBD.;;RR;2,300.00;;
MA. RAMOS SUBD.;;RR;2,300.00;;
TOWN & COUNTRY EXEC. VILL (ACTIVE REALTY, INC.);;RR;3,800.00;;
VILLA CONSUELO SUBD. (POLO REALTY CORP.);;RR;2,350.00;;
VILLARICA SUBD. (PROCESO VILLARICA ET ALS.);;RR;2,350.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;IBAYO;;;;
MC ARTHUR HIGHWAY;;RR;4,125.00;;
MC ARTHUR HIGHWAY;;CR;4,425.00;;
MC ARTHUR HIGHWAY;;I;4,200.00;;
MC ARTHUR HIGHWAY;INTERIOR;RR;3,300.00;;
MC ARTHUR HIGHWAY;INTERIOR;CR;3,600.00;;
MC ARTHUR HIGHWAY;INTERIOR;I;3,500.00;;
MUNICIPAL ROADS;;RR;2,725.00;;
MUNICIPAL ROADS;;CR;2,950.00;;
MUNICIPAL ROADS;;I;2,975.00;;
MUNICIPAL ROADS;;A2;1,000.00;;
MUNICIPAL ROADS;;A50;600.00;;
MUNICIPAL ROADS;INTERIOR;RR;1,750.00;;
MUNICIPAL ROADS;INTERIOR;CR;2,825.00;;
MUNICIPAL ROADS;INTERIOR;I;2,725.00;;
MUNICIPAL ROADS;INTERIOR;A2;950.00;;
MUNICIPAL ROADS;INTERIOR;A50;580.00;;
ALL OTHER STREETS;;RR;1,650.00;;
ALL OTHER STREETS;;CR;2,750.00;;
ALL OTHER STREETS;;I;2,650.00;;
ALL OTHER STREETS;;A50;550.00;;
ALL OTHER STREETS;;GP;550.00;;
ALL OTHER STREETS;INTERIOR;RR;1,600.00;;
ALL OTHER STREETS;INTERIOR;CR;2,700.00;;
ALL OTHER STREETS;INTERIOR;I;2,550.00;;
ALL OTHER STREETS;INTERIOR;A50;500.00;;
ARSENIO HEIGHTS SUBD.;;RR;2,500.00;;
