SINGSON VILLAGE PEDRO BASUBAS RD;SITIO NAWANAO;RR;500.00;;
SINGSON VILLAGE PEDRO BASUBAS RD;SITIO NAWANAO;RR;500.00;;
SINGSON VILLAGE PEDRO BASUBAS RD;SITIO NAWANAO;I;500.00;;
P O ROAD;CEBU NORTH ROAD;RR;1,500.00;;
P O ROAD;CEBU NORTH ROAD;I;1,500.00;;
A DEL ROSARIO AVE;CEBU NORTH ROAD;RR;1,500.00;;
A DEL ROSARIO AVE;CEBU NORTH ROAD;I;1,500.00;;
MAGUIKAY BANILAD RD;H CORTES A BONIFCIO;RR;800.00;;
MAGUIKAY BANILAD RD;H CORTES A BONIFCIO;I;800.00;;
A S FORTUNA;BOUNDARY TO SMC;RR;1,500.00;;
A S FORTUNA;BOUNDARY TO SMC;I;1,500.00;;
SINGSON ROAD;CEBU NORTH ROAD;RR;1,500.00;;
SINGSON ROAD;CEBU NORTH ROAD;I;1,500.00;;
TIPOLO BARRIO ROAD;;RR;1,500.00;;
TIPOLO BARRIO ROAD;;I;1,500.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;I;500.00;;
BARANGAY:;UMAPAD;;;;
PLARIDEL ST;CREEK BUTUANON RIVER;RR;1,100.00;;
SAN JOSE VILLAGE;;RR;500.00;;
UMAPAD ALANG ALANG;PLARIDEL ALANG ALNG;RR;500.00;;
UMAPAD ALANG ALANG;PLARIDEL ALANG ALNG;I;500.00;;
PLARIDEL ST;G OUANO TO CREEK;RR;1,500.00;;
PLARIDEL ST;G OUANO TO CREEK;I;1,500.00;;
PROGRESO CAMBOGAONG;PARLIDEL END;RR;500.00;;
PROGRESO CAMBOGAONG;PARLIDEL END;I;500.00;;
ALL OTHER STREETS;;RR;500.00;;
ALL OTHER STREETS;;I;500.00;;
