RDO:;RDO NO. 29 - TONDO-SAN NICOLAS;;;;
PADRE RADA;ZARAGOZA-P HERRERA;RR;3,780.00;;
PAGHANAPIN;ZARAGOZA-P HERRERA;RR;3,780.00;;
R MABAGOS;ZARAGOZA-P HERRERA;RR;3,780.00;;
ZABALA;ZARAGOZA-P HERRERA;RR;3,780.00;;
ZARAGOZA EXTENSION;TAGUMPAY-MARCOS ROAD;CR;26,250.00;;
ZARAGOZA EXTENSION;TAGUMPAY-MARCOS ROAD;RR;5,040.00;;
ALL OTHER STREETS;;CR;26,250.00;;
ALL OTHER STREETS;;RR;3,780.00;;
BARANGAY:;BARANGAY  31 ZONE  2;;;;
BALAGTAS;ZABALA-P HERRERA;RR;3,780.00;;
HERRERA;TAGUMPAY-MARCOS ROAD;RR;4,340.00;;
KASIPAGAN ST.;LAKANDULA-ZABALA ST.;RR;3,780.00;;
LAKANDULA ST.;LUALHATI-WAGAS;RR;3,780.00;;
LUALHATI ST.;LAKANDULA-ZABALA ST.;RR;3,780.00;;
MARIA PAYO;ZABALA-P HERRERA;RR;3,780.00;;
MASINOP ST.;LAKANDULA-ZABALA ST.;RR;3,780.00;;
PAGHANAPIN;ZABALA-P HERRERA;RR;3,780.00;;
R MABAGOS;ZABALA-P HERRERA;RR;3,780.00;;
WAGAS;ZABALA-P HERRERA;RR;3,780.00;;
ZABALA;WAGAS-KASIPAGAN;RR;4,340.00;;
ALL OTHER STREETS;;CR;26,250.00;;
ALL OTHER STREETS;;RR;3,780.00;;
BARANGAY:;BARANGAY  32 ZONE  2;;;;
HINAHON;ZARAGOSA-ZABALA;RR;3,780.00;;
KASIPAGAN;ZARAGOSA-ZABALA;RR;3,780.00;;
LUALHATI ST.;ZABALA-ZARAGOZA;RR;3,780.00;;
MASIKAP;ZARAGOSA-ZABALA;RR;3,780.00;;
MASINOP ST.;ZABALA-ZARAGOZA;RR;3,780.00;;
MATIISIN;ZARAGOSA-ZABALA;RR;3,780.00;;
MATIMTIMAN;WAGAS-LUALHATI;RR;3,780.00;;
PADRE RADA;ZARAGOSA-ZABALA;RR;3,780.00;;
WAGAS;ZARAGOSA-ZABALA;RR;3,780.00;;
ZABALA;KASIPAGAN-WAGAS;RR;4,340.00;;
ZARAGOZA;WAGAS-KASIPAGAN;CR;39,375.00;;
ALL OTHER STREETS;;CR;39,375.00;;
ALL OTHER STREETS;;RR;3,780.00;;
BARANGAY:;BARANGAY  33 ZONE  3;;;ZONE 3 IS BOUNDED BY:     NORTH  -  MORIONES (FROM MARCOS ROAD TO ASUNCION)     SOUTH  -  LAKANDULA (FROM ASUNCION TO MARCOS ROAD)     EAST   -  ASUNCION (FROM LAKANDULA TO MORIONES)     WEST   -  MARCOS ROAD (FROM MORIONES TO LAKANDULA);
DALISAY;WAGAS-LUALHATI;RR;3,780.00;;
GEN. LLANERA ST.;SANDICO-LAKANDULA;RR;3,780.00;;
IBARRA;LUALHATI-WAGAS;RR;3,780.00;;
LAKANDULA;KAGITINGAN-LUALHATI;CR;27,300.00;;
LAKANDULA;KAGITINGAN-LUALHATI;RR;8,190.00;;
LUALHATI;LAKANDULA-DALISAY;RR;3,780.00;;
SANDICO;LUALHATI-WAGAS;RR;3,780.00;;
WAGAS;LAKANDULA-DALISAY;RR;3,780.00;;
ALL OTHER STREETS;;CR;27,300.00;;
ALL OTHER STREETS;;RR;3,276.00;;
BARANGAY:;BARANGAY  34 ZONE  3;;;;
DALISAY;LAKANDULA-KAGITINGAN;RR;3,780.00;;
KAGITINGAN;LAKANDULA-DALISAY;RR;3,780.00;;
LAKANDULA;KAGITINGAN-LUALHATI;CR;27,300.00;;
LAKANDULA;KAGITINGAN-LUALHATI;RR;12,600.00;;
LUALHATI;LAKANDULA-DALISAY;RR;3,780.00;;
SANDICO ST.;KAGITINGAN-LUALHATI;RR;3,780.00;;
ALL OTHER STREETS;;CR;27,300.00;;
ALL OTHER STREETS;;RR;3,780.00;;
BARANGAY:;BARANGAY  35 ZONE  3;;;;
ASUNCION ST.;ASUNCION-L. IBARRA;RR;3,780.00;;
CAMBA EXTENSION;NOLASCO-IBARRA;RR;3,780.00;;
IBARRA;WAGAS-J NOLASCO;RR;3,780.00;;
J NOLASCO;LAKANDULA;RR;3,780.00;;
LAKANDULA;WAGAS-J NOLASCO;CR;27,300.00;;
LAKANDULA;WAGAS-J NOLASCO;RR;8,190.00;;
SANDICO;RIGHT SIDE OF WAGAS;RR;3,780.00;;
WAGAS;LAKANDULA-SANDICO;RR;3,780.00;;
ALL OTHER STREETS;;CR;27,300.00;;
ALL OTHER STREETS;;RR;3,276.00;;
BARANGAY:;BARANGAY  36 ZONE  3;;;;
ABAD SANTOS;SANDICO-TUAZON;RR;3,780.00;;
ASUNCION ST.;ORTEGA-SANDICO;RR;3,780.00;;
BARCELONA;ORTEGA-MORGA;RR;5,040.00;;
CAMBA ST.;ORTEGA-SANDICO;RR;3,780.00;;
J NOLASCO;SANDICO-ORTEGA;RR;3,780.00;;
MADRID ST.;ORTEGA-SANDICO;RR;3,780.00;;
MORGA;BARCELONA-WAGAS;RR;3,780.00;;
ORTEGA;J NOLASCO-BARCELONA;RR;3,780.00;;
P. SORIANO ST.;ORTEGA-SANDICO;RR;3,780.00;;
SAN RAMON ST.;WAGAS-BARCELONA;RR;3,780.00;;
SANDICO;WAGAS-J NOLASCO;RR;3,780.00;;
TUAZON ST.;WAGAS-BARCELONA;RR;3,780.00;;
WAGAS;MORGA-SANDICO;RR;3,780.00;;
ALL OTHER STREETS;;CR;26,250.00;;
ALL OTHER STREETS;;RR;3,276.00;;
BARANGAY:;BARANGAY  37 ZONE  3;;;;
ILOCOS ROAD;SANDICO-TUAZON;RR;3,780.00;;
KAGITINGAN;SANDICO-TUAZON;RR;3,780.00;;
NUEVA ECIJA;SANDICO-TUAZON;RR;3,780.00;;
SANDICO;N ECIJA-R KAGITINGAN;RR;3,780.00;;
TAGUMPAY ST.;SANDICO-TUAZON;RR;3,780.00;;
TUAZON;KAGITINGAN-N ECIJA;RR;3,780.00;;
ALL OTHER STREETS;;CR;26,250.00;;
ALL OTHER STREETS;;RR;3,780.00;;
BARANGAY:;BARANGAY  38 ZONE  3;;;;
KAGITINGAN;LAKANDULA-SANDICO;RR;3,780.00;;
LAKANDULA;MARCOS ROAD-TAGUMPAY;CR;27,300.00;;
LAKANDULA;MARCOS ROAD-TAGUMPAY;RR;12,600.00;;
SANDICO;TAGUMPAY-MARCOS ROAD;RR;3,780.00;;
