RDO:;RDO NO. 42 - SAN JUAN;;;(FORMERLY RDO NO. 31 MANDALUYONG-SAN JUAN);
M H DEL PILAR;M MARCOS V CRUZ;RR;3,900.00;;
M MARCOS;WILSON;RR;4,350.00;;
MAUDE;P GUEVARRA V CRUZ;RR;3,900.00;;
P GUEVARRA;;RR;4,750.00;;
P GUEVARRA;;CR;5,600.00;;
FELIX MANALO;;RR;3,000.00;;
G SORIANO;;RR;3,000.00;;
SMUTH MUTT;M MARCOS WILSON;RR;2,750.00;;
V CRUZ;MARCOS INC;RR;2,800.00;;
WILSON;P GUEVARRA;RR;4,000.00;;
WILSON;P GUEVARRA;CR;4,600.00;;
ALL OTHER STREETS;;RR;2,700.00;;
ALL OTHER STREETS;;CR;4,400.00;;
BARANGAY:;ONCE;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
A BONIFACIO;P GUEVARRA;RR;2,950.00;;
ADEVOSO;JP RIZAL A BONIFACIO;RR;2,500.00;;
CARRIEDO;A BONIFACIO;RR;2,500.00;;
F MANALO EXT;P GUEVARRA;RR;3,250.00;;
F MANALO EXT;P GUEVARRA;CR;3,500.00;;
F VALENTIN;A. BONIFACIO CARRIEDO;RR;2,000.00;;
HARDBOARD;;RR;2,100.00;;
HILLTOP;JP RIZAL  A BONIFACIO;RR;2,500.00;;
IBUNA JOFRE;P GUEVARRA AVE;RR;2,000.00;;
J RIZAL;PINAGLABANAN ELEM;RR;2,000.00;;
MARNE;;RR;2,000.00;;
MEJINO TANGLAW;J RIZAL;RR;2,000.00;;
MONTOYA;JP RIZAL A BONIFACIO;RR;2,000.00;;
P BURGOS;;RR;2,000.00;;
P GUEVARRA;;RR;3,250.00;;
P GUEVARRA;;CR;3,700.00;;
PAG-IBIG SUAREZ;;RR;2,000.00;;
PANGANIBAN BURGOS;;RR;2,000.00;;
SALAMAT;J RIZAL;RR;2,000.00;;
SAN LUIS;;RR;2,000.00;;
V AGAN GEN P R SOTTO;CARRIEDO;RR;2,000.00;;
YPRESS;IBUNA;RR;2,000.00;;
ALL OTHER STREETS;;RR;1,900.00;;
ALL OTHER STREETS;;CR;3,250.00;;
BARANGAY:;PASADENA;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
ALFONSO XIII;ALFONSO XIII;RR;2,000.00;;
CASTILLA;ALFONSO XIII;RR;2,000.00;;
F BENITEZ;ALFONSO XIII;RR;2,000.00;;
HILLSIDE;ALFONSO XIII;RR;2,000.00;;
LEDESMA;LT ARTIAGA;RR;2,000.00;;
LT ARTIAGA;SANTOLAN RD;RR;2,000.00;;
M J PATERNO;LT ARTIAGA;RR;2,000.00;;
N DOMINGO;;RR;4,050.00;;
N DOMINGO;;CR;4,900.00;;
PASADENA DRIVE;ERMITANO CREEK;RR;2,000.00;;
SANTOLAN ROAD;;RR;2,600.00;;
SANTOLAN RD;;CR;3,250.00;;
ALL OTHER STREETS;;RR;2,000.00;;
ALL OTHER STREETS;;CR;3,250.00;;
BARANGAY:;PEDRO CRUZ;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
AGORA N DOMINGO;F BLUMENTRITT;RR;3,000.00;;
AGORA N DOMINGO;F BLUMENTRITT;CR;4,050.00;;
ALVAREZ;PINAGLABANAN BLUM;RR;2,350.00;;
BLUMENTRITT;;RR;3,000.00;;
BLUMENTRITT;;CR;3,600.00;;
BUENAVIDES;F BLUMENTRITT;RR;2,250.00;;
CALBARRIO ALVAREZ;;RR;2,300.00;;
CAPT MANZANO;N DOMINGO COLUMBIA;RR;2,250.00;;
DR J EJERCITO;PINAGLABANAN-BLUMENTRITT;RR;2,500.00;;
J BASA;BLUMENTRITT AGORA;RR;2,250.00;;
LOPE K SANTOS;BLUMENTRITT;RR;2,250.00;;
P GRANDE;PINAGLABANAN BLUM;RR;2,250.00;;
PARAISO;N DOMINGO AGORA;RR;2,250.00;;
PINAGLABANAN;BLUMENTRITT;RR;3,000.00;;
PINAGLABANAN;BLUMENTRITT;CR;3,500.00;;
RIDEOUT MANZANO;AGORA;RR;2,250.00;;
SALVADOR;AGORA;RR;2,250.00;;
SEVILLA;AGORA;RR;2,250.00;;
ALL OTHER STREETS;;RR;2,000.00;;
ALL OTHER STREETS;;CR;2,750.00;;
ALL OTHER STREETS;;X;2,650.00;;
BARANGAY:;PROGRESO;;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV ZV.SQ/M;;
ATANACIO;N DOMINGO;RR;1,200.00;;
CRUZ;SAN JUAN RIVER;RR;1,200.00;;
EUSTAQUIO;SAN JUAN RIVER;RR;1,200.00;;
KATUBUSAN;N DOMINGO;RR;1,200.00;;
