RDO:;RDO NO. 83-TALISAY, CEBU;;;Formerly RDO NO. 60A;
BARANGAY:;USMAD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PLAIN AREA;;A;1.50;;
ROLLING AREA;;A1;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;ALAWIJAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CULTIVATED TO CROPS;;A1;1.90;;
CULTIVATED TO CROPS;;A2;1.15;;
PLANTED TO COCONUT/ORCHARD;;A1;1.90;;
PLANTED TO COCONUT/ORCHARD;;A2;1.35;;
FOREST/TIMBERLAND;;A1;1.00;;
FOREST/TIMBERLAND;;A2;1.00;;
PASTURE/OPEN RANGE;;A1;1.00;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;BALHAAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;27.50;;
CULTIVATED TO CROPS;;A1;2.25;;
CULTIVATED TO CROPS;;A2;1.75;;
PLANTED TO COCONUT/ORCHARD;;A1;2.50;;
PLANTED TO COCONUT/ORCHARD;;A2;2.00;;
MARSHLAND/SWAMPS;;A3;1.00;;
PASTURE/OPEN RANGE;;A1;1.35;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;BANHIGAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;;RR;27.50;;
BARANGAY ROAD;;A;22.50;;
BUILT-UP AREA;;CR;30.00;;
CULTIVATED TO CROPS;;A1;2.00;;
CULTIVATED TO CROPS;;A2;1.65;;
PLANTED TO COCONUT/ORCHARD;;A1;2.00;;
PLANTED TO COCONUT/ORCHARD;;A2;1.65;;
FOREST/TIMBERLAND;;A1;1.00;;
FOREST/TIMBERLAND;;A2;1.00;;
PASTURE/OPEN RANGE;;A1;1.00;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;BASAK;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CULTIVATED TO CROPS;;A1;1.90;;
CULTIVATED TO CROPS;;A2;1.35;;
PLANTED TO COCONUT/ORCHARD;;A1;1.90;;
PLANTED TO COCONUT/ORCHARD;;A2;1.35;;
FOREST/TIMBERLAND;;A1;1.00;;
FOREST/TIMBERLAND;;A2;1.00;;
PASTURE/OPEN RANGE;;A1;1.00;;
PASTURE/OPEN RANGE;;A2;1.00;;
MUNICIPALITY:;BADIAN;;;;
MUNICIPALITY:;BADIAN;;;;
BARANGAY:;BASIAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CULTIVATED TO CROPS;;A1;1.90;;
CULTIVATED TO CROPS;;A2;1.35;;
PLANTED TO COCONUT/ORCHARD;;A1;1.90;;
PLANTED TO COCONUT/ORCHARD;;A2;1.35;;
FOREST/TIMBERLAND;;A1;1.00;;
FOREST/TIMBERLAND;;A2;1.00;;
PASTURE/OPEN RANGE;;A1;1.10;;
PASTURE/OPEN RANGE;;A2;1.00;;
