RDO:;RDO NO. 83-TALISAY, CEBU;;;Formerly RDO NO. 60A;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL ROAD;TINAAN-POBLACION BDRY TO HIWAY-TOLEDO CITY;RR;75.00;;
NATIONAL ROAD;HIWAY-TOLEDO CITY TO PATERNO STREET;RR;80.00;;
NATIONAL ROAD;PATERNO TO AGUINALDO;GP;35.00;;
NATIONAL ROAD;PATERNO TO AGUINALDO;GL;0.00;;
NATIONAL ROAD;AGUINALDO-BGY BDY MONUMEN;RR;80.00;;
DACLAN STREET;NATIONAL RD-BONIFACIO ST;RR;80.00;;
DACLAN STREET;BONIFACIO ST TO END DACLA;RR;80.00;;
AGUINALDO STREET;NAT'L RD-BONIFACIO ST;RR;80.00;;
GOMEZ STREET;MEJIA ST-BONIFACIO;RR;80.00;;
SAN FRANCISCO STREET;NAT'L RD-BONIFACIO ST;CR;90.00;;
SAN FRANCISCO STREET;BONIFACIO-END SAN FRANCIS;RR;80.00;;
PATERNO STREET;SHORELINE-MEJIA ST;RR;80.00;;
BURGOS STREET;MEJIA ST-BONIFACIO;RR;80.00;;
J RIZAL STREET;NAT'L RD-BONIFACIO ST;RR;80.00;;
AGONCILLO STREET;NAT'L RD-MEJIA ST;RR;80.00;;
HIWAY TO TOLEDO CITY;NAT'L ROAD-MEJIA ST;RR;80.00;;
HIWAY TO TOLEDO CITY;MAJIA ST-BONIFACIO-NAALAD;RR;35.00;;
MEJIA STREET;AGUINALDO-GOMEZ;RR;80.00;;
MEJIA STREET;GOMEZ-BURGOS;CR;95.00;;
MEJIA STREET;BURGOS-HIWAY-TOLEDRO RD;RR;80.00;;
GEN LUNA STREET;AGUINALDO-GOMEZ;RR;80.00;;
GEN LUNA STREET;GOMEZ-BURGOS;CR;95.00;;
BONIFACIO STREET;BGY BDY MONUMENT-DACLAN;RR;75.00;;
BONIFACIO STREET;DACLAN-GOMEZ;RR;80.00;;
BONIFACIO STREET;GOMEZ-BURGOS;CR;95.00;;
BONIFACIO STREET;BURGOS-MEJIA;RR;80.00;;
SAUDI VILLAGE;DACLAN-END OF ROAD;RR;75.00;;
BLOCK 1,2 & 3;PARK-CHURCH-MUN HALL;GP;35.00;;
BLOCK 1,2 & 3;PARK-CHURCH-MUN HALL;GL;0.00;;
BLOCK 4, 5, 6, 7, 8, 9, 10;INTERIOR LOTS 50M MUN RD;RR;75.00;;
BLOCK 11, 12, 13, 14, 15;INTERIOR LOTS 50M MUN RD;RR;75.00;;
BLOCKS COVERED BY NAGA PROV'L HIGH SCHOOL & NAGA CENTRAL SCHOOL;;GP;35.00;;
;;X;75.00;;
ALL INTERIOR LOTS NOT MENTIONED;;A;17.50;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;TAGJAGUIMIT;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG BARANGAY RD;RR;5.00;;
ALL AREAS;BEYOND 200 METERS;A;1.00;;
ALL AREAS;BEYOND 200 METERS;A1;1.00;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;TANGKE;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG NATIONAL ROAD;RR;47.50;;
ALL AREAS;200M ALONG BARANGAY RD;RR;27.50;;
ALL AREAS;BEYOND 200 METERS;I;1250.00;;
ALL AREAS;BEYOND 200 METERS;A;1.00;;
ALL AREAS;BEYOND 200 METERS;A1;1.00;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;TUYAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG NATIONAL ROAD;RR;70.00;;
ALL AREAS;200M ALONG BARANGAY RD WITH MINERAL RESOSURCES BEYOND 200 METERS;RR;45.00;;
ALL AREAS;;A;1.50;;
MUNICIPALITY:;NAGA;;;;
BARANGAY:;ULING;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;200M ALONG TOLEDO-NAGARO;RR;30.00;;
ALL AREAS;200M ALONG BARANGAY RD;RR;5.50;;
ALL AREAS;BEYOND 200 METERS;A;1.10;;
ALL AREAS;BEYOND 200 METERS;A1;1.00;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;ANISLAG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;ANISLAG-BUSAY BDRY TO ANISLAG PROPER;RR;13.00;;
BARANGAY ROAD;ANISLAG-GUIMBAWI-AN BDRY TO ANISLAG PROPER;RR;13.00;;
PLAIN AREA;;A;1.30;;
MOUNTAIN AREA;;A1;1.30;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;ANOLOG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;ANOPOG-BUHINGTUBIG BDRY TO CAMUGAO-ANOPOG BDRY;RR;15.00;;
PLAIN AREA;;A;1.30;;
HILLY AREA;;A1;1.30;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;BINABAG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;BINABAG-POBLACION BDRY TO BUSAY BDRY;RR;15.00;;
PLAIN AREA;;A;1.30;;
MOUNTAIN AREA;;A1;1.30;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;BOTONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;BOTONG-PANDACAN BDRY TO BUHINGTUBIG-BOTONG BDRY;RR;15.00;;
PLAIN AREA;;A;1.30;;
SLOPY AREA;;A1;1.30;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;BUHINGTUBIG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;BUHINGTUBIG-BOTONG BDRY BUHINGTUBIG-TANIBAG BDRY;RR;15.00;;
BARANGAY ROAD;RIZAL-BARANGAYROAD;RR;15.00;;
PLAIN AREA;;A;1.30;;
MOUNTAIN AREA;;A1;1.30;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;BUSAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;BUSAY-TUPAS BDRY TO BUSAY PROPER BUSAY PROPER;RR;11.00;;
PLAIN AREA;;A;1.30;;
MOUNTAIN AREA;;A1;1.00;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;CABIANGON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL HIGHWAY;CABIANGON-TAHAO BDRY TO CABIANGON RIVER/BRIDGE;A;3.00;;
NATIONAL HIGHWAY;CABIANGON PROPER;RR;18.00;;
NATIONAL HIGHWAY;BANBAN BDGE-CABIANGON PRO;RR;16.00;;
NATIONAL HIGHWAY;FISHPOND AREA;A3;3.00;;
BARANGAY ROAD;UPPER CABIANGON;A;2.00;;
BARANGAY ROAD;INTERIOR PLAIN AREA;A;1.30;;
BARANGAY ROAD;INTERIOR HILLY AREA;A1;1.30;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;CAMUGAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;CAMUGAO-ANOPOG BDRY TO CAMUGAO PROPER;RR;15.00;;
PLAIN AREA;;A;1.50;;
SLOPPY AREA;;A1;1.30;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;DUANGAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;DUANGAN PROPER;RR;14.00;;
PLAIN AREA;;A;1.30;;
MOUNTAIN AREA;;A1;1.00;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;GUIMBAWI-AN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;GUIMBAWI-AN-LUT-OD BDRY TO GUIMBAWI-AN PROPER;RR;14.00;;
BARANGAY ROAD;GUIMBAWI-AN PROP-ANISLAG;RR;13.00;;
PLAIN AREA;;A;1.30;;
MOUNTAIN AREA;;A1;1.00;;
MOUNTAIN AREA;;;;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;LAMAC;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;SIBAGO-LAMAC BDRY TO LAMAC PROPER;RR;16.00;;
PLAIN AREA;PLANTED TO RICE;A;1.50;;
PLAIN AREA;PLANTED TO OTHER;A;1.30;;
SITIO LOY-A;;A1;1.00;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;LUT-OD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;LUT-OD POBLACION BDRY TO SITIO SUBAYON;RR;18.00;;
PROVINCIAL ROAD;SITIO SUBAYON-LUT-OD-PROP;RR;17.00;;
PROVINCIAL ROAD;LUT-OD PROP-SIT HAGAKHAKA;RR;16.00;;
PROVINCIAL ROAD;SIT HAGAKHAKAN-PUNOD BDRY;A;1.30;;
INTERIOR AREAS;;A;1.30;;
INTERIOR AREAS;;A1;1.00;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;MANGOTO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL HIGHWAY;;RR;23.00;;
NATIONAL HIGHWAY;;A;3.00;;
BARANGAY ROAD;;RR;22.00;;
PLAIN AREA;;A;1.50;;
HILLY AREA;;A1;1.30;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;OPAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;OPAO-SACSAC BDRY-OPAO PRO;RR;12.00;;
BARANGAY ROAD;OPAO-SACSAC BDRY-TANGUB;RR;11.00;;
MOUNTAIN AREA;;A1;1.00;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;PANDACAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL HIGHWAY;BANBAN BDGE-BANBAN PROP;RR;21.00;;
NATIONAL HIGHWAY;BANBAN BDGE-BANBAN PROP;A;3.00;;
NATIONAL HIGHWAY;BANBAN BDRY-PANDACAN PROP;RR;22.00;;
NATIONAL HIGHWAY;PANDACAN PROP-POBLACION;RR;23.00;;
BARANGAY ROAD;NAT'L HIWAY-BOTONG PANDAC;RR;14.50;;
INTERIOR AREA;;A;1.50;;
INTERIOR AREA;;A1;1.00;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;PUNUD-LUT-OD BDRY TO GUIMBAWI-AN BDRY;RR;14.00;;
GEN. E. GINES;V CERNA ST-G NEMENZO;RR;32.00;;
GEN. E. GINES;PINA-SAN FERNANDP-PASAGUE;CR;40.00;;
NATIONAL HIGHWAY;PANDACAN BDRY-L SANCHEZ (EAST SIDE);RR;27.00;;
NATIONAL HIGHWAY;PANDACAN BDRY-L SANCHEZ EXC RC CEMETERY (WEST);RR;27.00;;
NATIONAL HIGHWAY;L SANCHEZ-END OF ROAD;RR;27.00;;
NATIONAL HIGHWAY;L SANCHEZ-PINA-SAN FERNANDO;RR;32.00;;
NATIONAL HIGHWAY;PINA-SAN FERNANDO TO KIOSK PARK;CR;45.00;;
NATIONAL HIGHWAY;KIOSK PARK-BONBON BDGE;RR;32.00;;
NATIONAL HIGHWAY;BONBON BDGE-MANGOTO BDRY;RR;27.00;;
NATIONAL HIGHWAY;PASAGUE-GEN. E. GINES;RR;32.00;;
NATIONAL HIGHWAY;PINA-SAN FERNANDO RD TO   GEN. E. GINES;RR;32.00;;
NATIONAL HIGHWAY;G. NEMENZO-GEN E. GINES;RR;32.00;;
NATIONAL HIGHWAY;V. CERNA-GEN. E. GINES;RR;30.00;;
PINAMUNGAJAN PUBLIC MKT;BNDED BY NAT'L HIWAY STA. MONICA, GEN. E. GINES & PINA-SAN FERNANDO RD;CR;60.00;;
PINAMUNGAJAN PUBLIC MKT;BNDED BY NEMENZO, NAT'L HIWAY, STA. MONICA & GEN E. GINES;GL;0.00;;
PLAIN AREA;PLANTED TO RICE;A;1.50;;
PLAIN AREA;PLANTED TO OTHERS;A;1.30;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;RIZAL;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;BANBAN BDGE-BANBAN PROP;RR;21.00;;
BARANGAY ROAD;BANBAN BDGE-BANBAN PROP;A;3.00;;
BARANGAY ROAD;BANBAN BDRY-PANDACAN PROP;RR;22.00;;
BARANGAY ROAD;PANDACAN PROP-POBLACION;RR;23.00;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;SACSAC;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;SACSAC-TUTAY BDRY TO OPAO BDRY;RR;17.00;;
BARANGAY ROAD;SACSAC-TUTAY BDRY TO SACSAC PROPER;RR;17.00;;
BARANGAY ROAD;SACSAC-OPAO BDRY TO SACSAC PROPER;RR;16.00;;
PLAIN AREA;;A;1.30;;
MOUNTAIN AREA;;A1;1.00;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;SAMBAGON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;SAMBAGON-MANGOTO BDRY TO SAMBAGON PROPER;RR;17.00;;
BARANGAY ROAD;SACSAC-TUTAU BDRY TO SACSAC PROPER;RR;17.00;;
BARANGAY ROAD;SACSAC-OPAO BDRY TO SACDAC PROPER;RR;16.00;;
PLAIN AREA;;A;1.30;;
MOUNTAIN AREA;;A1;1.00;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;SIBAGO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;SIBAGO-PUNOD BDY TO LAMAC;RR;13.00;;
BARANGAY ROAD;MOUNTAIN TOP;RR;12.00;;
PLAIN AREA;;A;1.00;;
MOUNTAIN AREA;;A1;1.00;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;TAJAO;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL HIGHWAY;SITIO BULOBOGAN-PINAMUNGAJAN-TOLEDO CITY BDRY TO TAJAO BRIDGE;RR;29.00;;
NATIONAL HIGHWAY;;A;2.00;;
NATIONAL HIGHWAY;;A3;3.00;;
NATIONAL HIGHWAY;TAJAO BDGE-CABIANGON-TAJAO BDRY;RR;21.00;;
NATIONAL HIGHWAY;BGY ROAD-SITIO MABINI;RR;19.00;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;TANGUB;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;TANGUB-OPAO BDRY TO TANGUB PROPER;RR;13.00;;
BARANGAY ROAD;SITIO TAGYTAY-TANGUB PRO;RR;12.00;;
TANGUB PROPER;;A;1.00;;
SITIO TAGAYTAY;;A;1.00;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;TANIBAG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;TANIBAG-RIZAL BDRY TO TANIBAG-BUHINGTUBIG BDRY;RR;15.00;;
PLAIN AREA;;A;1.30;;
HILLY AREA;;A1;1.00;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;TUPAS;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;TUPAS ROPER-BUSAY BDRY;RR;12.00;;
BARANGAY ROAD;TUPAS PROPER-TANGUB BDRY;RR;12.00;;
INTERIOR AREAS;PLANTED TO RICE;A;1.30;;
INTERIOR AREAS;PLANTED TO CORN/COCONUT;A;1.00;;
INTERIOR AREAS;MOUNTAIN AREAS;A1;1.00;;
MUNICIPALITY:;PINAMUNGAJAN;;;;
BARANGAY:;TUTAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
NATIONAL HIGHWAY;TUTAU-MANGOTO BDRY TO TUTAY RIVER/BRIDGE;RR;23.00;;
NATIONAL HIGHWAY;TUTAU BRIDGE-SITIO MOHON BDRY;RR;23.00;;
NATIONAL HIGHWAY;TUTAU BRIDGE-SITIO MOHON BDRY;A2;2.50;;
NATIONAL HIGHWAY;TUTAU BRIDGE-SITIO MOHON BDRY;A;1.30;;
MUNICIPALITY:;RONDA;;;;
BARANGAY:;BUTONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
MALALAY PROVINCIAL ROAD;ILAYA-BUTONG BDRY TO TUPAS-CAN-ABUHON-BUTONG BDRY;A;3.00;;
MALALAY PROVINCIAL ROAD;ILAYA-CANSAYAHON-BUTONG BDRY TO CAN-ABUHON-CANSALONOY-BUTONG BDRY;A;2.00;;
INTERIOR AREAS;HILLY;A1;1.50;;
INTERIOR AREAS;MOUNTAINOUS;A1;1.50;;
MUNICIPALITY:;RONDA;;;;
BARANGAY:;CAN-ABUHON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
CAN-ABUHON-CANSALONOY RD;CAN-ABUHON-CANSALONOY RD TO CANSALONOY-VIVE BGY ROAD;A;2.00;;
MALALAY PROVINCIAL RD;MALALAY PROVINCIAL RD TO BUTONG-TUPAS-VIVE BDRY;A;2.00;;
INTERIOR AREAS;HILLY;A1;1.50;;
INTERIOR AREAS;MOUNTAINOUS;A1;1.50;;
MUNICIPALITY:;RONDA;;;;
BARANGAY:;CANDULING;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL HIGHWAY;;RR;33.00;;
TONGO RD (BARANGAY RD);;RR;30.00;;
ALL INTERIOR LOTS;;A;1.50;;
MUNICIPALITY:;RONDA;;;;
BARANGAY:;CANSALANOY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;3.00;;
INTERIOR AREAS;HILLY;A1;1.50;;
INTERIOR AREAS;MOUNTAINOUS;A1;1.50;;
MUNICIPALITY:;RONDA;;;;
BARANGAY:;CANSAYAHON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
BARANGAY ROAD;;A;2.00;;
INTERIOR AREAS;HILLY MOUNTAINOUS;A1;1.50;;
INTERIOR AREAS;HILLY MOUNTAINOUS;A1;1.50;;
MUNICIPALITY:;RONDA;;;;
BARANGAY:;LANGIN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
LANGIN-BULLOGAN ROAD;;A;4.00;;
INTERIOR AREAS;HILLY;A1;1.50;;
INTERIOR AREAS;MOUNTAINOUS;A1;1.50;;
MUNICIPALITY:;RONDA;;;;
BARANGAY:;LIBOD;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
LIBOO HILL;;GL;0.00;;
BARANGAY ROAD;;A;2.00;;
MUNICIPALITY:;RONDA;;;;
BARANGAY:;MALALAY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
MALALAY PROVINCIAL ROAD;;A;3.00;;
MALALAY-SUTIL ROAD;;A;3.00;;
INTERIOR AREAS;HILLY;A1;1.50;;
INTERIOR AREAS;MOUNTAINOUS;A1;1.50;;
MUNICIPALITY:;RONDA;;;;
BARANGAY:;PALANAS;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL HIGHWAY;;RR;35.00;;
BOGO BARANGAY ROAD;RIGHT SIDE OF BOGO BGY RD TO SHORELINE;RR;30.00;;
BOGO BARANGAY ROAD;LEFT SIDE OF BOGO BGY RD STRETCHING 100 METERS INWARD;RR;32.00;;
ALL INTERIOR LOTS;;A;2.00;;
MUNICIPALITY:;RONDA;;;;
BARANGAY:;POBLACION;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
DR. JOSE RIZAL;V NOEL-PROVINCIAL RD;CR;55.00;;
DR. JOSE RIZAL;PROV'L RD-VILLAGONZALO;RR;35.00;;
FUNDALES;MARIA CLARA-VILLEGAS;RR;35.00;;
G. LUCERO;CREEK-VILLAGONZALO;RR;35.00;;
J. VILLAGONZALO;V. NOEL-VILLAGONZALO;RR;35.00;;
J. VILLAGONZALO;MARIA CLARA-VILLEGAS;RR;35.00;;
L. ORTIZ;V. NOEL-X STREET;RR;35.00;;
L. ORTIZ;V. NOEL-X STREET;CR;60.00;;
MARIA CLARA;VILLAGRACIA-VILLAGONZALO;RR;35.00;;
PROVINCIAL RD (VILLEGAS);V. NOEL-VILLAGRACIA;CR;55.00;;
PROVINCIAL RD (VILLEGAS);VILLAGRACIA-X STREET;GP;35.00;;
PROVINCIAL RD (VILLEGAS);Z STREET-PROV'L RD-ALCANT;RR;35.00;;
PROVINCIAL RD (VILLEGAS);PALANAS BDRY-MARIA CLARA;RR;35.00;;
PROVINCIAL RD (VILLEGAS);MA.CLARA-VILLEGAS;RR;35.00;;
PROVINCIAL RD (VILLEGAS);VILLEGAS-CANDULING-POB BD;RR;35.00;;
P. VILLAGRACIA;MA. CLARA-DR. J RIZAL;RR;35.00;;
P. VILLAGRACIA;DR. J. RIZAL-PROV'L RD;CR;55.00;;
P. VILLAGRACIA;PROV'L RD-VILLAGONZALO;RR;35.00;;
VILLEGAS;PROV'L RD-VILLAGONZALO;RR;35.00;;
VILLALON;X STREET-PROV'L ROAD;RR;35.00;;
V. NOEL;G. LUCERO-DR. J RIZAL;RR;35.00;;
V. NOEL;DR. J RIZAL-PROV'L RD;CR;55.00;;
V. NOEL;PROV'L RD-L ORTIZ;RR;35.00;;
X STREET;DR. J RIZAL-PROV'L RD;CR;55.00;;
X STREET;PROV'L RD-L ORTIZ;RR;35.00;;
ALL OTHER LOTS WITHIN;;RR;35.00;;
POBLACION;;A;2.00;;
MUNICIPALITY:;RONDA;;;;
BARANGAY:;STA. CRUZ;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL HIGHWAY;;RR;40.00;;
CAMBUN-AN ROAD (BGY ROAD);;RR;27.50;;
ALL INTERIOR LOTS;;A;2.00;;
MUNICIPALITY:;RONDA;;;;
BARANGAY:;TUPAS;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
LIBOO-TUPAS BDRY;;A;2.50;;
INTERIOR AREAS;HILLY;A1;1.50;;
INTERIOR AREAS;MOUNTAINOUS;A1;1.50;;
MUNICIPALITY:;RONDA;;;;
BARANGAY:;VIVE;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
MALALAY PROVINCIAL ROAD;;A;2.20;;
INTERIOR AREAS;HILLY;A1;1.50;;
INTERIOR AREAS;MOUNTAINOUS;A1;1.50;;
MUNICIPALITY:;SAMBOAN;;;;
BARANGAY:;BASAK;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY BGY CAMBIGONG, BULANGSURAN, JUMANGPAS & POBLACION;A1;1.30;;
ALL AREAS;;;;;
MUNICIPALITY:;SAMBOAN;;;;
BARANGAY:;BONBON;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;BGY POBLACION-BGY TANGBO;RR;35.00;;
INTERIOR AREA;BNDED BY POBLACION, JUMANGPAS & TANGBO;A1;1.30;;
INTERIOR AREA;;;;;
MUNICIPALITY:;SAMBOAN;;;;
BARANGAY:;BULANGSURAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY BGY CANORONG, MONTEVERDE, BASAK & CAMBIGONG;A1;1.00;;
MUNICIPALITY:;SAMBOAN;;;;
BARANGAY:;CAMBIGONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY BGY SUBA, CANORONG, BULANGSURAN, BASAK, & POBLACION;A1;1.00;;
ALL AREAS;;;;;
ALL AREAS;;;;;
MUNICIPALITY:;SAMBOAN;;;;
BARANGAY:;CAMBUROY;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY MUN OF OSLOB BGY SAN SEBASTIAN, CULASE, DALAHIKAN, KALAAGAN & MONTEVERDE;A1;1.00;;
ALL AREAS;;;;;
ALL AREAS;;;;;
MUNICIPALITY:;SAMBOAN;;;;
BARANGAY:;CANORONG;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
ALL AREAS;BNDED BY MUN OF GINATILAN BGY SUBA, CAMBIGONG & BULAGSURAN;A1;1.00;;
ALL AREAS;;;;;
MUNICIPALITY:;SAMBOAN;;;;
BARANGAY:;CULASE;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;BNDED BY BGY DALAHIKAN-SAN SEBASTI;RR;35.00;;
INTERIOR ROAD;BNDED BY BGY DALAHIKAN, CAMBUROY & SAN SEBASTIAN;A1;1.30;;
INTERIOR ROAD;;;;;
MUNICIPALITY:;SAMBOAN;;;;
BARANGAY:;DALAHIKAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
PROVINCIAL ROAD;BGY TANGBO-BGY CULASE;RR;25.00;;
INTERIOR ROAD;BNDED BY BGY TANGBO, KALATAGAN, CAMBUROY & CULASE;A1;1.30;;
INTERIOR ROAD;;;;;
MUNICIPALITY:;SAMBOAN;;;;
BARANGAY:;DALAHIKAN;;;;
STREET NAME/SUBDIVISION;VICINITY;CLASSIFICATION;INITIAL ZV/SQ.M.;;
