RDO:;RDO NO. 25A - PLARIDEL BULACAN;;;FORMERLY RDO NO. 25 MALOLOS, BULACAN;
NEAR PROVINCIAL/MUNICIPAL ROADS;;CR;1,500.00;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;RR;1,500.00;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;I;750.00;;
NEAR PROVINCIAL/MUNICIPAL ROADS;;A;400.00;;
INNER LOTS;;CR;700.00;;
INNER LOTS;;RR;700.00;;
INNER LOTS;;I;700.00;;
INNER LOTS;;A;400.00;;
ALL OTHER STREETS;;GP;400.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;PRENZA II;;;;
PROVINCIAL/MUNICIPAL ROAD;;CR;1,200.00;;
PROVINCIAL/MUNICIPAL ROAD;;RR;1,200.00;;
INNER LOTS;;RR;700.00;;
INNER LOTS;;I;750.00;;
INNER LOTS;;A;400.00;;
ALL OTHER STREETS;;GP;400.00;;
ALL OTHER STREETS;;;;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;SAOG;;;;
MC ARTHUR HIGHWAY;;CR;3,500.00;;
MC ARTHUR HIGHWAY;;RR;3,500.00;;
INNER LOTS;;CR;2,800.00;;
INNER LOTS;;RR;2,800.00;;
ALONG MUNICIPAL ST;;RR;700.00;;
ALONG MUNICIPAL ST;;I;600.00;;
ALONG MUNICIPAL ST;;A;400.00;;
INNER LOTS;;RR;500.00;;
INNER LOTS;;I;500.00;;
INNER LOTS;;A;400.00;;
ROXVILLE SUBD.;;RR;1,600.00;;
BULAKEÑA VILL;;RR;1,600.00;;
VIOLETA HOMES;;RR;1,500.00;;
RAMCAR VILL;;RR;1,300.00;;
ALL OTHER STREET;;GP;400.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;SANTA ROSA I;;;;
PROVINCIAL/MUNICIPAL RD;;CR;1,500.00;;
PROVINCIAL/MUNICIPAL RD;;RR;1,500.00;;
PROVINCIAL/MUNICIPAL RD;;I;700.00;;
PROVINCIAL/MUNICIPAL RD;;A;400.00;;
INNER LOTS;;RR;650.00;;
INNER LOTS;;I;650.00;;
INNER LOTS;;A;400.00;;
SANTO TOMAS VILL;;RR;1,200.00;;
SIRODY ENG. SUBD.;;RR;1,200.00;;
PROGRESSIVE REAL ESTATE (VILLALUZ);;RR;1,200.00;;
ALL OTHER STREET;;GP;400.00;;
ALL OTHER STREET;;;;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;SANTA ROSA II;;;;
NEAR MUNICIPAL ROADS;;CR;1,200.00;;
NEAR MUNICIPAL ROADS;;RR;1,200.00;;
NEAR MUNICIPAL ROADS;;I;700.00;;
NEAR MUNICIPAL ROADS;;A;400.00;;
INNER LOTS;;CR;700.00;;
INNER LOTS;;RR;700.00;;
INNER LOTS;;I;650.00;;
INNER LOTS;;A;400.00;;
ALL OTHER STREETS;;GP;400.00;;
CITY/MUNICIPALITY:;MARILAO;;;;
BARANGAY:;TABING ILOG;;;;
MC ARTHUR HIGHWAY;;CR;3,500.00;;
MC ARTHUR HIGHWAY;;RR;3,500.00;;
PROVINCIAL ROAD;;CR;1,800.00;;
